N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+201,-0.06157195,6,-0.18471584,-39.05138604,0.0001268389,11.971,10.532,10.532,,"Molecule(name='H6N2', formula='H6N2', hash='ef0fddb')"
2mer-0+159,-0.07748369,6,-0.23245106,-39.2838371,0.0001235423,11.472,10.625,10.625,,"Molecule(name='H6N2', formula='H6N2', hash='6ea6b0d')"
2mer-0+140,-0.07260117,6,-0.2178035,-39.50164061,0.0001235423,11.472,10.625,10.625,,"Molecule(name='H6N2', formula='H6N2', hash='92a0018')"
2mer-0+183,-0.03690853,6,-0.11072558,-39.61236619,0.0001197594,12.111,10.736,10.736,,"Molecule(name='H6N2', formula='H6N2', hash='f146d2f')"
2mer-0+255,0.00066677,6,0.00200031,-39.61036588,0.000114324,11.684,10.903,10.903,,"Molecule(name='H6N2', formula='H6N2', hash='5e64663')"
2mer-0+237,0.06642423,6,0.1992727,-39.41109318,0.0001119786,12.567,10.979,10.979,,"Molecule(name='H6N2', formula='H6N2', hash='f902bb5')"
2mer-0+153,0.03074271,6,0.09222814,-39.31886504,0.0001073345,12.388,11.135,11.135,,"Molecule(name='H6N2', formula='H6N2', hash='bbc51bf')"
2mer-0+204,0.01757007,6,0.0527102,-39.26615484,0.0001049051,12.567,11.22,11.22,,"Molecule(name='H6N2', formula='H6N2', hash='83f1d78')"
2mer-0+264,-0.02349539,6,-0.07048616,-39.336641,0.0001029792,13.024,11.29,11.29,,"Molecule(name='H6N2', formula='H6N2', hash='30b3123')"
2mer-0+219,0.01340411,6,0.04021234,-39.29642866,0.0001017364,12.567,11.336,11.336,,"Molecule(name='H6N2', formula='H6N2', hash='f1adcd7')"
2mer-0+216,-0.0017827,6,-0.0053481,-39.30177676,9.317695e-05,13.282,11.673,11.673,,"Molecule(name='H6N2', formula='H6N2', hash='23cff27')"
2mer-0+252,-0.07758581,6,-0.23275743,-39.53453419,9.216023e-05,13.024,11.715,11.715,,"Molecule(name='H6N2', formula='H6N2', hash='c152b63')"
2mer-0+315,0.02803118,6,0.08409355,-39.45044063,9.168751e-05,12.761,11.735,11.735,,"Molecule(name='H6N2', formula='H6N2', hash='f8a52e0')"
2mer-0+291,-0.04090613,6,-0.12271838,-39.57315901,8.947805e-05,12.893,11.831,11.831,,"Molecule(name='H6N2', formula='H6N2', hash='a493f0a')"
2mer-0+192,0.022595,6,0.06778501,-39.50537401,8.719771e-05,13.409,11.933,11.933,,"Molecule(name='H6N2', formula='H6N2', hash='d9d2683')"
2mer-0+231,0.03231097,6,0.09693292,-39.40844109,8.649445e-05,13.409,11.966,11.966,,"Molecule(name='H6N2', formula='H6N2', hash='1e28069')"
2mer-0+267,-0.0124317,6,-0.03729511,-39.44573619,8.628702e-05,13.153,11.975,11.975,,"Molecule(name='H6N2', formula='H6N2', hash='502a182')"
2mer-0+222,-0.05352275,6,-0.16056826,-39.60630445,8.628702e-05,13.153,11.975,11.975,,"Molecule(name='H6N2', formula='H6N2', hash='36103b9')"
2mer-0+195,-0.09916617,6,-0.29749851,-39.90380297,8.550892e-05,12.567,12.012,12.012,,"Molecule(name='H6N2', formula='H6N2', hash='f01f60e')"
2mer-0+210,0.05249261,6,0.15747782,-39.74632515,8.497992e-05,13.534,12.036,12.036,,"Molecule(name='H6N2', formula='H6N2', hash='b5e1ae4')"
2mer-0+312,-0.00160948,6,-0.00482844,-39.75115359,7.988157e-05,12.761,12.287,12.287,,"Molecule(name='H6N2', formula='H6N2', hash='c00ab9c')"
2mer-0+348,0.12916964,6,0.38750893,-39.36364467,7.879305e-05,12.627,12.344,12.344,,"Molecule(name='H6N2', formula='H6N2', hash='94a9bcf')"
2mer-0+300,0.00701469,6,0.02104408,-39.34260058,7.650791e-05,14.238,12.465,12.465,,"Molecule(name='H6N2', formula='H6N2', hash='fd0ab2a')"
2mer-0+282,-0.0397993,6,-0.11939791,-39.4619985,7.575374e-05,14.118,12.506,12.506,,"Molecule(name='H6N2', formula='H6N2', hash='9c4eb86')"
2mer-0+360,-0.01228951,6,-0.03686853,-39.49886703,7.170707e-05,13.876,12.737,12.737,,"Molecule(name='H6N2', formula='H6N2', hash='1d2aef1')"
2mer-0+261,-0.01917483,6,-0.05752449,-39.55639152,7.148961e-05,14.238,12.75,12.75,,"Molecule(name='H6N2', formula='H6N2', hash='599566f')"
2mer-0+405,0.07699725,6,0.23099174,-39.32539978,6.938438e-05,13.63,12.878,12.878,,"Molecule(name='H6N2', formula='H6N2', hash='ad4dc06')"
2mer-0+351,0.04253615,6,0.12760845,-39.19779133,6.651479e-05,14.511,13.061,13.061,,"Molecule(name='H6N2', formula='H6N2', hash='6dcf21c')"
2mer-0+345,-0.05960275,6,-0.17880826,-39.37659959,6.64262e-05,13.876,13.066,13.066,,"Molecule(name='H6N2', formula='H6N2', hash='1a3d3ff')"
2mer-0+330,-0.05603266,6,-0.16809799,-39.54469758,6.443431e-05,13.998,13.2,13.2,,"Molecule(name='H6N2', formula='H6N2', hash='09f43f0')"
2mer-0+297,0.0394052,6,0.1182156,-39.42648197,6.269866e-05,14.474,13.32,13.32,,"Molecule(name='H6N2', formula='H6N2', hash='8d864fd')"
2mer-0+381,-0.0248645,6,-0.0745935,-39.50107548,6.130883e-05,14.908,13.42,13.42,,"Molecule(name='H6N2', formula='H6N2', hash='a595458')"
2mer-0+366,-0.01648144,6,-0.04944431,-39.55051979,5.999005e-05,15.022,13.518,13.518,,"Molecule(name='H6N2', formula='H6N2', hash='799acfb')"
2mer-0+402,-0.04603444,6,-0.13810331,-39.6886231,5.950084e-05,14.794,13.555,13.555,,"Molecule(name='H6N2', formula='H6N2', hash='d008a1c')"
2mer-0+321,-0.04276152,6,-0.12828456,-39.81690766,5.818259e-05,14.511,13.656,13.656,,"Molecule(name='H6N2', formula='H6N2', hash='986d986')"
2mer-0+465,-0.00736182,6,-0.02208545,-39.83899311,5.663191e-05,14.679,13.78,13.78,,"Molecule(name='H6N2', formula='H6N2', hash='8636b7b')"
2mer-0+408,0.03128644,6,0.09385932,-39.74513379,5.589985e-05,15.392,13.84,13.84,,"Molecule(name='H6N2', formula='H6N2', hash='c6be77b')"
2mer-0+432,0.03060126,6,0.09180377,-39.65333002,5.478041e-05,15.392,13.933,13.933,,"Molecule(name='H6N2', formula='H6N2', hash='2a1644a')"
2mer-0+336,-0.01688986,6,-0.05066957,-39.70399959,5.475864e-05,15.134,13.935,13.935,,"Molecule(name='H6N2', formula='H6N2', hash='69506f9')"
2mer-0+342,0.01074498,6,0.03223495,-39.67176464,5.442192e-05,15.246,13.964,13.964,,"Molecule(name='H6N2', formula='H6N2', hash='646aaa6')"
2mer-0+495,0.0338291,6,0.1014873,-39.57027734,5.372422e-05,14.563,14.024,14.024,,"Molecule(name='H6N2', formula='H6N2', hash='4c934ec')"
2mer-0+303,0.02577619,6,0.07732856,-39.49294878,5.338167e-05,15.357,14.054,14.054,,"Molecule(name='H6N2', formula='H6N2', hash='3f2cecd')"
2mer-0+384,-0.00210467,6,-0.00631402,-39.4992628,5.258797e-05,15.392,14.124,14.124,,"Molecule(name='H6N2', formula='H6N2', hash='2fd0d30')"
2mer-0+390,-0.00271144,6,-0.00813432,-39.50739712,5.258797e-05,15.392,14.124,14.124,,"Molecule(name='H6N2', formula='H6N2', hash='d6bd209')"
2mer-0+450,-0.03354165,6,-0.10062494,-39.60802206,5.127378e-05,15.766,14.244,14.244,,"Molecule(name='H6N2', formula='H6N2', hash='39a385e')"
2mer-0+525,0.00263669,6,0.00791006,-39.600112,5.055115e-05,15.55,14.312,14.312,,"Molecule(name='H6N2', formula='H6N2', hash='cb72c54')"
2mer-0+420,-0.00367895,6,-0.01103686,-39.61114886,4.938894e-05,15.98,14.423,14.423,,"Molecule(name='H6N2', formula='H6N2', hash='6721097')"
2mer-0+504,-0.01846401,6,-0.05539204,-39.6665409,4.86748e-05,15.659,14.493,14.493,,"Molecule(name='H6N2', formula='H6N2', hash='f33872f')"
2mer-0+399,0.02423103,6,0.0726931,-39.5938478,4.762783e-05,16.191,14.599,14.599,,"Molecule(name='H6N2', formula='H6N2', hash='a1dcf22')"
2mer-0+429,0.01215114,6,0.03645342,-39.55739438,4.703061e-05,16.086,14.66,14.66,,"Molecule(name='H6N2', formula='H6N2', hash='2f5ee9b')"
2mer-0+564,0.02089232,6,0.06267696,-39.49471742,4.699202e-05,15.44,14.664,14.664,,"Molecule(name='H6N2', formula='H6N2', hash='ad8503a')"
2mer-0+507,-0.02583703,6,-0.07751108,-39.5722285,4.673094e-05,15.55,14.692,14.692,,"Molecule(name='H6N2', formula='H6N2', hash='cecd7ff')"
2mer-0+567,0.0328819,6,0.09864569,-39.47358281,4.624711e-05,15.44,14.743,14.743,,"Molecule(name='H6N2', formula='H6N2', hash='092fdfb')"
2mer-0+498,0.01670139,6,0.05010417,-39.42347864,4.608165e-05,16.224,14.76,14.76,,"Molecule(name='H6N2', formula='H6N2', hash='f7d32b7')"
2mer-0+441,-0.02581431,6,-0.07744293,-39.50092157,4.550027e-05,15.874,14.823,14.823,,"Molecule(name='H6N2', formula='H6N2', hash='ce9a379')"
2mer-0+522,-0.00610423,6,-0.01831268,-39.51923425,4.534136e-05,16.682,14.84,14.84,,"Molecule(name='H6N2', formula='H6N2', hash='83b6c9e')"
2mer-0+375,-0.05793261,6,-0.17379784,-39.69303209,4.532742e-05,15.392,14.842,14.842,,"Molecule(name='H6N2', formula='H6N2', hash='f64a107')"
2mer-0+468,0.01750601,6,0.05251803,-39.64051406,4.526868e-05,16.224,14.848,14.848,,"Molecule(name='H6N2', formula='H6N2', hash='29b4743')"
2mer-0+378,-0.00074413,6,-0.00223238,-39.64274644,4.500763e-05,16.086,14.877,14.877,,"Molecule(name='H6N2', formula='H6N2', hash='81a8e75')"
2mer-0+393,0.01989106,6,0.05967318,-39.58307326,4.476464e-05,16.191,14.904,14.904,,"Molecule(name='H6N2', formula='H6N2', hash='18233cb')"
2mer-0+462,-0.01124819,6,-0.03374456,-39.61681782,4.298145e-05,16.784,15.107,15.107,,"Molecule(name='H6N2', formula='H6N2', hash='eebd0c6')"
2mer-0+459,-0.01960543,6,-0.05881628,-39.6756341,4.215726e-05,16.224,15.205,15.205,,"Molecule(name='H6N2', formula='H6N2', hash='e8ece00')"
2mer-0+444,-0.01876559,6,-0.05629677,-39.73193087,4.145577e-05,16.224,15.29,15.29,,"Molecule(name='H6N2', formula='H6N2', hash='39ca8bf')"
2mer-0+435,-0.00072785,6,-0.00218354,-39.73411441,4.129832e-05,16.884,15.309,15.309,,"Molecule(name='H6N2', formula='H6N2', hash='85b3577')"
2mer-0+573,0.02360084,6,0.07080252,-39.66331189,4.01496e-05,17.016,15.454,15.454,,"Molecule(name='H6N2', formula='H6N2', hash='03d35ef')"
2mer-0+585,-0.0103108,6,-0.03093241,-39.6942443,4.000357e-05,16.58,15.473,15.473,,"Molecule(name='H6N2', formula='H6N2', hash='9238758')"
2mer-0+646,-0.00794739,6,-0.02384218,-39.71808648,3.865344e-05,17.258,15.651,15.651,,"Molecule(name='H6N2', formula='H6N2', hash='2f0f681')"
2mer-0+570,-0.02732456,6,-0.08197367,-39.80006015,3.857879e-05,16.478,15.661,15.661,,"Molecule(name='H6N2', formula='H6N2', hash='4654cc0')"
2mer-0+685,0.06065027,6,0.18195082,-39.61810933,3.826409e-05,16.166,15.704,15.704,,"Molecule(name='H6N2', formula='H6N2', hash='ccbe0f9')"
2mer-0+486,0.02897055,6,0.08691165,-39.53119769,3.785957e-05,17.084,15.76,15.76,,"Molecule(name='H6N2', formula='H6N2', hash='23655c2')"
2mer-0+534,0.00388615,6,0.01165846,-39.51953922,3.759084e-05,17.016,15.797,15.797,,"Molecule(name='H6N2', formula='H6N2', hash='c156ece')"
2mer-0+561,0.00280917,6,0.0084275,-39.51111172,3.759084e-05,17.016,15.797,15.797,,"Molecule(name='H6N2', formula='H6N2', hash='f2fe36e')"
2mer-0+613,-0.0197927,6,-0.05937811,-39.57048983,3.746064e-05,16.374,15.815,15.815,,"Molecule(name='H6N2', formula='H6N2', hash='44b4f88')"
2mer-0+676,-0.00580492,6,-0.01741477,-39.5879046,3.586885e-05,17.159,16.046,16.046,,"Molecule(name='H6N2', formula='H6N2', hash='b31f682')"
2mer-0+555,0.00438817,6,0.01316451,-39.57474009,3.520429e-05,17.647,16.146,16.146,,"Molecule(name='H6N2', formula='H6N2', hash='dc4ce81')"
2mer-0+546,0.02418181,6,0.07254542,-39.50219467,3.455271e-05,17.838,16.247,16.247,,"Molecule(name='H6N2', formula='H6N2', hash='99548d9')"
2mer-0+628,0.01447461,6,0.04342383,-39.45877083,3.432187e-05,17.773,16.283,16.283,,"Molecule(name='H6N2', formula='H6N2', hash='cd97880')"
2mer-0+528,-0.03219704,6,-0.09659113,-39.55536197,3.426063e-05,17.016,16.293,16.293,,"Molecule(name='H6N2', formula='H6N2', hash='ee05a36')"
2mer-0+519,0.01311639,6,0.03934916,-39.5160128,3.420219e-05,17.742,16.302,16.302,,"Molecule(name='H6N2', formula='H6N2', hash='f02b389')"
2mer-0+616,-0.0005336,6,-0.00160079,-39.51761359,3.38023e-05,17.55,16.366,16.366,,"Molecule(name='H6N2', formula='H6N2', hash='c0bb7fe')"
2mer-0+709,0.01021012,6,0.03063036,-39.48698324,3.340325e-05,17.06,16.431,16.431,,"Molecule(name='H6N2', formula='H6N2', hash='8aee25c')"
2mer-0+673,-0.00851501,6,-0.02554502,-39.51252825,3.287493e-05,18.192,16.519,16.519,,"Molecule(name='H6N2', formula='H6N2', hash='5ea7b0a')"
2mer-0+652,-0.01461549,6,-0.04384646,-39.55637472,3.254701e-05,18.192,16.574,16.574,,"Molecule(name='H6N2', formula='H6N2', hash='b50ec34')"
2mer-0+787,0.04470742,6,0.13412227,-39.42225244,3.146151e-05,16.961,16.763,16.763,,"Molecule(name='H6N2', formula='H6N2', hash='d4e84d6')"
2mer-0+820,0.01241174,6,0.03723523,-39.38501721,3.136971e-05,17.815,16.779,16.779,,"Molecule(name='H6N2', formula='H6N2', hash='9d2aeb0')"
2mer-0+667,-0.02833629,6,-0.08500888,-39.47002609,3.131482e-05,18.098,16.789,16.789,,"Molecule(name='H6N2', formula='H6N2', hash='d133f46')"
2mer-0+718,-0.01138857,6,-0.03416572,-39.50419181,3.131482e-05,18.098,16.789,16.789,,"Molecule(name='H6N2', formula='H6N2', hash='1cfdecb')"
2mer-0+775,-0.01465964,6,-0.04397892,-39.54817073,3.114887e-05,17.91,16.818,16.818,,"Molecule(name='H6N2', formula='H6N2', hash='1fe96ef')"
2mer-0+697,-0.01851624,6,-0.05554873,-39.60371946,3.073572e-05,18.098,16.894,16.894,,"Molecule(name='H6N2', formula='H6N2', hash='bfd9dcb')"
2mer-0+631,-0.02347505,6,-0.07042514,-39.6741446,3.031571e-05,18.192,16.971,16.971,,"Molecule(name='H6N2', formula='H6N2', hash='6765860')"
2mer-0+643,0.01298994,6,0.03896981,-39.63517479,3.022581e-05,18.469,16.988,16.988,,"Molecule(name='H6N2', formula='H6N2', hash='6755d7c')"
2mer-0+751,0.01839346,6,0.05518038,-39.57999441,3.018222e-05,18.498,16.996,16.996,,"Molecule(name='H6N2', formula='H6N2', hash='a599d0d')"
2mer-0+625,-0.00188074,6,-0.00564223,-39.58563664,2.964913e-05,18.377,17.097,17.097,,"Molecule(name='H6N2', formula='H6N2', hash='77f0b7f')"
2mer-0+856,0.02780408,6,0.08341225,-39.5022244,2.957082e-05,17.72,17.112,17.112,,"Molecule(name='H6N2', formula='H6N2', hash='91590f8')"
2mer-0+576,0.00627587,6,0.01882762,-39.48339677,2.951903e-05,18.469,17.122,17.122,,"Molecule(name='H6N2', formula='H6N2', hash='9cfd696')"
2mer-0+799,-0.00283339,6,-0.00850016,-39.49189693,2.945002e-05,17.815,17.136,17.136,,"Molecule(name='H6N2', formula='H6N2', hash='df8ae22')"
2mer-0+712,0.01870058,6,0.05610173,-39.4357952,2.938502e-05,18.498,17.148,17.148,,"Molecule(name='H6N2', formula='H6N2', hash='e18f895')"
2mer-0+814,-0.0095135,6,-0.02854049,-39.46433569,2.886475e-05,18.721,17.251,17.251,,"Molecule(name='H6N2', formula='H6N2', hash='81867f7')"
2mer-0+733,0.00484524,6,0.01453571,-39.44979998,2.840525e-05,19.08,17.343,17.343,,"Molecule(name='H6N2', formula='H6N2', hash='00d267f')"
2mer-0+607,0.01804782,6,0.05414345,-39.39565653,2.83753e-05,18.561,17.35,17.35,,"Molecule(name='H6N2', formula='H6N2', hash='2e76286')"
2mer-0+706,-0.01990335,6,-0.05971004,-39.45536657,2.837279e-05,18.901,17.35,17.35,,"Molecule(name='H6N2', formula='H6N2', hash='eae9041')"
2mer-0+826,-0.01597267,6,-0.047918,-39.50328457,2.823196e-05,18.721,17.379,17.379,,"Molecule(name='H6N2', formula='H6N2', hash='c566a49')"
2mer-0+606,-0.04212236,2,-0.04212236,-39.54540693,2.792547e-05,17.773,17.442,17.442,,"Molecule(name='H6N2', formula='H6N2', hash='3054a15')"
2mer-0+892,-0.00078851,6,-0.00236554,-39.54777247,2.767617e-05,18.63,17.494,17.494,,"Molecule(name='H6N2', formula='H6N2', hash='2ca2abd')"
2mer-0+739,-0.00328166,6,-0.00984497,-39.55761744,2.752372e-05,18.991,17.527,17.527,,"Molecule(name='H6N2', formula='H6N2', hash='27391d5')"
2mer-0+688,-0.01426017,6,-0.04278052,-39.60039796,2.752372e-05,18.991,17.527,17.527,,"Molecule(name='H6N2', formula='H6N2', hash='86ecb6e')"
2mer-0+941,0.02595609,6,0.07786828,-39.52252968,2.719482e-05,18.447,17.597,17.597,,"Molecule(name='H6N2', formula='H6N2', hash='0109ef4')"
2mer-0+853,0.01807247,6,0.0542174,-39.46831228,2.717149e-05,19.197,17.602,17.602,,"Molecule(name='H6N2', formula='H6N2', hash='c343efd')"
2mer-0+679,-0.01863856,6,-0.05591567,-39.52422795,2.712999e-05,18.498,17.611,17.611,,"Molecule(name='H6N2', formula='H6N2', hash='3fb1e43')"
2mer-0+916,-0.00354498,6,-0.01063495,-39.53486291,2.688881e-05,18.539,17.664,17.664,,"Molecule(name='H6N2', formula='H6N2', hash='a7a3b12')"
2mer-0+703,-0.01896241,6,-0.05688724,-39.59175015,2.685751e-05,18.498,17.67,17.67,,"Molecule(name='H6N2', formula='H6N2', hash='f73e4b6')"
2mer-0+847,0.01806475,6,0.05419425,-39.53755591,2.683295e-05,19.197,17.676,17.676,,"Molecule(name='H6N2', formula='H6N2', hash='e4baf0c')"
2mer-0+736,-0.00796599,6,-0.02389798,-39.56145388,2.671993e-05,18.991,17.701,17.701,,"Molecule(name='H6N2', formula='H6N2', hash='aa8936e')"
2mer-0+790,0.01271128,6,0.03813384,-39.52332004,2.648146e-05,19.197,17.754,17.754,,"Molecule(name='H6N2', formula='H6N2', hash='0a7a373')"
2mer-0+805,-0.02491445,6,-0.07474335,-39.59806339,2.646236e-05,18.721,17.758,17.758,,"Molecule(name='H6N2', formula='H6N2', hash='7566698')"
2mer-0+658,0.01538345,6,0.04615034,-39.55191305,2.630371e-05,19.257,17.794,17.794,,"Molecule(name='H6N2', formula='H6N2', hash='2e87d20')"
2mer-0+682,0.00480782,6,0.01442347,-39.53748958,2.595444e-05,19.169,17.873,17.873,,"Molecule(name='H6N2', formula='H6N2', hash='dcbe190')"
2mer-0+865,0.01225641,6,0.03676922,-39.50072036,2.583923e-05,19.197,17.9,17.9,,"Molecule(name='H6N2', formula='H6N2', hash='bdd3d85')"
2mer-0+781,-0.02379742,6,-0.07139226,-39.57211262,2.570556e-05,18.811,17.93,17.93,,"Molecule(name='H6N2', formula='H6N2', hash='bad59df')"
2mer-0+772,-0.0032298,6,-0.00968941,-39.58180202,2.550908e-05,19.197,17.976,17.976,,"Molecule(name='H6N2', formula='H6N2', hash='02ddbde')"
2mer-0+796,-0.00359679,6,-0.01079036,-39.59259239,2.520421e-05,19.197,18.049,18.049,,"Molecule(name='H6N2', formula='H6N2', hash='094f34a')"
2mer-0+953,0.02157997,6,0.06473992,-39.52785247,2.504633e-05,18.447,18.086,18.086,,"Molecule(name='H6N2', formula='H6N2', hash='8860a07')"
2mer-0+730,0.01700209,6,0.05100627,-39.47684619,2.492229e-05,19.257,18.116,18.116,,"Molecule(name='H6N2', formula='H6N2', hash='349ae18')"
2mer-0+895,-0.02140257,6,-0.06420772,-39.54105391,2.490609e-05,19.411,18.12,18.12,,"Molecule(name='H6N2', formula='H6N2', hash='86a9554')"
2mer-0+1001,0.0033518,6,0.01005539,-39.53099852,2.425712e-05,19.236,18.28,18.28,,"Molecule(name='H6N2', formula='H6N2', hash='9dfa477')"
2mer-0+980,-0.00550993,6,-0.01652979,-39.54752831,2.387647e-05,20.162,18.377,18.377,,"Molecule(name='H6N2', formula='H6N2', hash='188bb9e')"
2mer-0+811,0.007204,6,0.02161201,-39.52591629,2.350833e-05,19.843,18.473,18.473,,"Molecule(name='H6N2', formula='H6N2', hash='6f92289')"
2mer-0+769,-0.0272015,6,-0.08160451,-39.6075208,2.327067e-05,19.197,18.535,18.535,,"Molecule(name='H6N2', formula='H6N2', hash='b88dd30')"
2mer-0+793,-0.01265164,6,-0.03795491,-39.64547571,2.320878e-05,19.672,18.552,18.552,,"Molecule(name='H6N2', formula='H6N2', hash='d5b4065')"
2mer-0+935,-0.01761851,6,-0.05285554,-39.69833124,2.287469e-05,20.162,18.642,18.642,,"Molecule(name='H6N2', formula='H6N2', hash='b071d01')"
2mer-0+760,-0.02710677,6,-0.08132031,-39.77965155,2.27366e-05,19.197,18.679,18.679,,"Molecule(name='H6N2', formula='H6N2', hash='3654209')"
2mer-0+868,-0.00167063,6,-0.0050119,-39.78466345,2.237458e-05,20.413,18.779,18.779,,"Molecule(name='H6N2', formula='H6N2', hash='e547f44')"
2mer-0+919,0.00132601,6,0.00397802,-39.78068542,2.230142e-05,20.413,18.8,18.8,,"Molecule(name='H6N2', formula='H6N2', hash='b8ca04d')"
