N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+15,-0.36338919,2,-0.36338919,-72.81765998,0.0006868144,7.947,5.998,5.998,0.028461627662181854
2mer-0+26,-0.8977255,2,-0.8977255,-73.71538548,0.0006577275,7.197,6.085,6.085,0.023362088948488235
2mer-0+33,0.07803791,2,0.07803791,-73.63734757,0.0005820969,9.82,6.338,6.338,-0.007069908548146486
2mer-0+24,0.11794985,2,0.11794985,-73.51939772,0.0005552637,9.906,6.438,6.438,0.0024363717529922724
2mer-0+22,0.08956563,2,0.08956563,-73.42983209,0.0004895839,8.18,6.714,6.714,-0.004645628854632378
2mer-0+28,-0.03752742,2,-0.03752742,-73.46735952,0.0004846912,10.01,6.737,6.737,-0.004832083825021982
2mer-0+53,-0.36189261,2,-0.36189261,-73.82925212,0.0004665812,9.607,6.823,6.823,0.00638778880238533
2mer-0+25,0.00209137,2,0.00209137,-73.82716075,0.0004629912,9.801,6.84,6.84,-0.0023559893015772104
2mer-0+20,-0.29245778,2,-0.29245778,-74.11961853,0.0004515621,8.811,6.898,6.898,0.01638372614979744
2mer-0+48,-0.37350353,2,-0.37350353,-74.49312206,0.0004411524,9.215,6.951,6.951,-0.00777839170768857
2mer-0+47,-0.26127715,2,-0.26127715,-74.75439921,0.0004060822,10.88,7.146,7.146,-0.002782112453132868
2mer-0+76,0.93150248,2,0.93150248,-73.82289673,0.0003871767,9.686,7.26,7.26,0.015697749331593513
2mer-0+35,-0.1725288,2,-0.1725288,-73.99542553,0.0003828304,9.607,7.288,7.288,0.0008038358064368367
2mer-0+68,-0.19173547,2,-0.19173547,-74.187161,0.0003487152,10.35,7.518,7.518,0.0012227982515469193
2mer-0+72,0.13265861,2,0.13265861,-74.05450239,0.0003128455,9.793,7.795,7.795,0.012349361553788185
2mer-0+30,-0.20943426,2,-0.20943426,-74.26393665,0.0002931252,9.82,7.966,7.966,0.005756823346018791
2mer-0+46,0.11515957,2,0.11515957,-74.14877708,0.0002803385,11.453,8.086,8.086,0
2mer-0+42,0.07484036,2,0.07484036,-74.07393672,0.0002794918,11.561,8.094,8.094,0
2mer-0+57,0.13169501,2,0.13169501,-73.94224171,0.0002606685,11.538,8.284,8.284,0
2mer-0+65,0.20397308,2,0.20397308,-73.73826863,0.0002590461,10.01,8.301,8.301,0
2mer-0+37,0.09749056,2,0.09749056,-73.64077807,0.0002571049,11.453,8.322,8.322,0
2mer-0+56,0.08789807,2,0.08789807,-73.55288,0.0002530433,12.242,8.366,8.366,0
2mer-0+81,-0.16888146,2,-0.16888146,-73.72176146,0.0002489459,11.213,8.412,8.412,0
2mer-0+52,-0.08532441,2,-0.08532441,-73.80708586,0.0002285849,11.289,8.655,8.655,0
2mer-0+62,-0.26141975,2,-0.26141975,-74.06850561,0.0002216253,10.896,8.744,8.744,0
2mer-0+121,0.58277837,2,0.58277837,-73.48572724,0.0002146055,11.19,8.839,8.839,0
2mer-0+64,0.0747436,2,0.0747436,-73.41098364,0.0002034507,12.194,8.997,8.997,0
2mer-0+41,-0.01603996,2,-0.01603996,-73.4270236,0.0002002481,10.743,9.045,9.045,0
2mer-0+108,-0.07502811,2,-0.07502811,-73.50205171,0.0001959375,11.849,9.111,9.111,0
2mer-0+83,-0.00129615,2,-0.00129615,-73.50334786,0.000189435,11.849,9.214,9.214,0
2mer-0+69,0.06687102,2,0.06687102,-73.43647684,0.0001845576,12.831,9.294,9.294,0
2mer-0+93,-0.19657756,2,-0.19657756,-73.6330544,0.0001824619,10.88,9.33,9.33,0
2mer-0+107,-0.13592068,2,-0.13592068,-73.76897508,0.0001684903,11.464,9.581,9.581,0
2mer-0+55,0.01690811,2,0.01690811,-73.75206697,0.0001673767,11.666,9.602,9.602,0
2mer-0+85,0.12124932,2,0.12124932,-73.63081766,0.0001598911,12.242,9.75,9.75,0
2mer-0+50,0.05665989,2,0.05665989,-73.57415777,0.000157939,12.831,9.79,9.79,0
2mer-0+113,0.07603994,2,0.07603994,-73.49811783,0.0001552511,13.322,9.846,9.846,0
2mer-0+73,-0.20278419,2,-0.20278419,-73.70090203,0.0001546981,10.896,9.858,9.858,0
2mer-0+100,-0.12366476,2,-0.12366476,-73.82456678,0.000142538,13.612,10.13,10.13,0
2mer-0+120,0.08978585,2,0.08978585,-73.73478093,0.0001391773,14.01,10.211,10.211,0
2mer-0+94,0.04141363,2,0.04141363,-73.6933673,0.0001380712,14.144,10.238,10.238,0
2mer-0+133,-0.16961758,2,-0.16961758,-73.86298488,0.0001319581,12.746,10.394,10.394,0
2mer-0+89,-0.18451717,2,-0.18451717,-74.04750205,0.000130864,13.31,10.423,10.423,0
2mer-0+139,-0.06925538,2,-0.06925538,-74.11675743,0.0001272768,12.664,10.52,10.52,0
2mer-0+71,-0.047481,2,-0.047481,-74.16423843,0.000126689,12.194,10.536,10.536,0
2mer-0+92,0.02468138,2,0.02468138,-74.13955705,0.0001222736,13.559,10.662,10.662,0
2mer-0+80,0.06510678,2,0.06510678,-74.07445027,0.0001209609,12.27,10.7,10.7,0
2mer-0+138,0.03245791,2,0.03245791,-74.04199235,0.0001208315,13.861,10.704,10.704,0
2mer-0+82,-0.06602152,2,-0.06602152,-74.10801388,0.0001141258,13.322,10.91,10.91,0
2mer-0+123,-0.11344237,2,-0.11344237,-74.22145624,0.0001131649,13.924,10.94,10.94,0
2mer-0+86,0.04503153,2,0.04503153,-74.17642471,0.0001093107,14.062,11.067,11.067,0
2mer-0+98,0.02333746,2,0.02333746,-74.15308725,0.0001086008,14.236,11.091,11.091,0
2mer-0+129,-0.08241952,2,-0.08241952,-74.23550677,0.000108078,13.867,11.109,11.109,0
2mer-0+77,0.04838747,2,0.04838747,-74.1871193,0.0001069183,14.062,11.149,11.149,0
2mer-0+136,-0.06493639,2,-0.06493639,-74.25205569,0.0001051607,14.766,11.211,11.211,0
2mer-0+96,-0.15669909,2,-0.15669909,-74.40875478,0.000104725,13.924,11.227,11.227,0
2mer-0+171,0.02865186,2,0.02865186,-74.38010291,0.0001042269,13.737,11.245,11.245,0
2mer-0+137,-0.11344296,2,-0.11344296,-74.49354587,9.648926e-05,14.507,11.537,11.537,0
2mer-0+103,-0.02568326,2,-0.02568326,-74.51922914,9.636149e-05,13.861,11.543,11.543,0
2mer-0+187,0.01985538,2,0.01985538,-74.49937376,9.375956e-05,13.848,11.648,11.648,0
2mer-0+213,0.18013429,2,0.18013429,-74.31923947,9.242289e-05,13.786,11.704,11.704,0
2mer-0+102,-0.05459226,2,-0.05459226,-74.37383173,9.161918e-05,14.01,11.738,11.738,0
2mer-0+127,0.00833541,2,0.00833541,-74.36549632,9.0584e-05,15.207,11.783,11.783,0
2mer-0+169,-0.13030788,2,-0.13030788,-74.4958042,9.055719e-05,14.071,11.784,11.784,0
2mer-0+128,-0.01241779,2,-0.01241779,-74.50822199,8.99231e-05,15.139,11.812,11.812,0
2mer-0+140,0.07875615,2,0.07875615,-74.42946584,8.935241e-05,13.559,11.837,11.837,0
2mer-0+124,0.02271021,2,0.02271021,-74.40675563,8.864198e-05,15.217,11.868,11.868,0
2mer-0+158,-0.06247199,2,-0.06247199,-74.46922762,8.846228e-05,14.766,11.876,11.876,0
2mer-0+144,-0.11451599,2,-0.11451599,-74.58374361,8.659063e-05,15.072,11.961,11.961,0
2mer-0+132,0.02678841,2,0.02678841,-74.55695521,8.620396e-05,15.205,11.979,11.979,0
2mer-0+156,-0.05782714,2,-0.05782714,-74.61478235,8.594258e-05,15.859,11.991,11.991,0
2mer-0+161,-0.05143988,2,-0.05143988,-74.66622223,8.500215e-05,15.072,12.035,12.035,0
2mer-0+165,0.0612008,2,0.0612008,-74.60502143,8.482165e-05,15.765,12.044,12.044,0
2mer-0+101,0.03772851,2,0.03772851,-74.56729292,8.378294e-05,15.205,12.093,12.093,0
2mer-0+167,-0.09220533,2,-0.09220533,-74.65949825,8.272976e-05,13.612,12.145,12.145,0
2mer-0+114,-0.09135981,2,-0.09135981,-74.75085806,8.170633e-05,14.507,12.195,12.195,0
2mer-0+146,0.08007136,2,0.08007136,-74.6707867,8.134488e-05,14.144,12.213,12.213,0
2mer-0+182,0.03889527,2,0.03889527,-74.63189143,8.054844e-05,14.899,12.253,12.253,0
2mer-0+104,0.0262882,2,0.0262882,-74.60560323,8.041339e-05,15.217,12.26,12.26,0
2mer-0+201,-0.08334641,2,-0.08334641,-74.68894963,7.928612e-05,14.967,12.318,12.318,0
2mer-0+211,0.01953304,2,0.01953304,-74.66941659,7.835795e-05,14.899,12.366,12.366,0
2mer-0+176,-0.07693704,2,-0.07693704,-74.74635363,7.761817e-05,14.157,12.405,12.405,0
2mer-0+111,0.02754106,2,0.02754106,-74.71881257,7.751526e-05,14.182,12.411,12.411,0
2mer-0+142,0.0445815,2,0.0445815,-74.67423107,7.664531e-05,15.311,12.458,12.458,0
2mer-0+147,-0.0568047,2,-0.0568047,-74.73103578,7.337733e-05,15.072,12.64,12.64,0
2mer-0+152,-0.08881938,2,-0.08881938,-74.81985516,7.221453e-05,14.802,12.707,12.707,0
2mer-0+203,0.01969247,2,0.01969247,-74.80016268,7.139155e-05,15.5,12.756,12.756,0
2mer-0+149,0.01067802,2,0.01067802,-74.78948466,7.127776e-05,16.334,12.763,12.763,0
2mer-0+197,-0.02520601,2,-0.02520601,-74.81469067,7.042784e-05,15.623,12.814,12.814,0
2mer-0+115,-0.09109778,2,-0.09109778,-74.90578845,6.834107e-05,15.072,12.943,12.943,0
2mer-0+135,-0.09636655,2,-0.09636655,-75.00215499,6.717638e-05,15.623,13.018,13.018,0
2mer-0+157,0.01162676,2,0.01162676,-74.99052824,6.648253e-05,15.5,13.063,13.063,0
2mer-0+163,-0.03245429,2,-0.03245429,-75.02298253,6.630833e-05,16.142,13.074,13.074,0
2mer-0+170,0.0221942,2,0.0221942,-75.00078832,6.505928e-05,16.843,13.157,13.157,0
2mer-0+236,0.00177554,2,0.00177554,-74.99901278,6.204517e-05,16.654,13.367,13.367,0
2mer-0+150,0.00872918,2,0.00872918,-74.9902836,5.977358e-05,15.445,13.534,13.534,0
2mer-0+226,-0.05066852,2,-0.05066852,-75.04095212,5.916298e-05,15.859,13.581,13.581,0
2mer-0+195,-0.07303602,2,-0.07303602,-75.11398814,5.818605e-05,16.654,13.656,13.656,0
2mer-0+306,0.18275416,2,0.18275416,-74.93123397,5.766478e-05,16.119,13.697,13.697,0
2mer-0+288,0.17114669,2,0.17114669,-74.76008729,5.766478e-05,16.119,13.697,13.697,0
2mer-0+200,-0.06041863,2,-0.06041863,-74.82050592,5.765201e-05,16.901,13.698,13.698,0
2mer-0+286,0.0226602,2,0.0226602,-74.79784572,5.663738e-05,16.019,13.779,13.779,0
2mer-0+153,-0.01847119,2,-0.01847119,-74.81631691,5.657432e-05,15.765,13.785,13.785,0
2mer-0+179,-0.07741302,2,-0.07741302,-74.89372993,5.623556e-05,14.802,13.812,13.812,0
2mer-0+155,0.00562067,2,0.00562067,-74.88810926,5.621092e-05,15.311,13.814,13.814,0
2mer-0+219,0.04250922,2,0.04250922,-74.84560004,5.457366e-05,17.307,13.951,13.951,0
2mer-0+224,-0.04442009,2,-0.04442009,-74.89002013,5.427336e-05,17.844,13.977,13.977,0
2mer-0+218,0.03502688,2,0.03502688,-74.85499325,5.400175e-05,17.784,14.0,14.0,0
2mer-0+223,0.00824784,2,0.00824784,-74.84674541,5.319951e-05,17.266,14.07,14.07,0
2mer-0+154,0.02037053,2,0.02037053,-74.82637487,5.290778e-05,17.266,14.096,14.096,0
2mer-0+254,-0.06726888,2,-0.06726888,-74.89364376,5.117902e-05,16.34,14.253,14.253,0
2mer-0+233,-0.01300612,2,-0.01300612,-74.90664988,5.075385e-05,16.654,14.293,14.293,0
2mer-0+259,-0.05311115,2,-0.05311115,-74.95976104,5.034269e-05,17.047,14.331,14.331,0
2mer-0+265,-0.0128045,2,-0.0128045,-74.97256553,5.016805e-05,17.615,14.348,14.348,0
2mer-0+285,-0.05502801,2,-0.05502801,-75.02759354,4.981565e-05,17.132,14.382,14.382,0
2mer-0+284,-0.0659725,2,-0.0659725,-75.09356605,4.908731e-05,17.193,14.453,14.453,0
2mer-0+162,-0.06978814,2,-0.06978814,-75.16335419,4.90721e-05,16.654,14.454,14.454,0
2mer-0+205,0.03991461,2,0.03991461,-75.12343958,4.878337e-05,17.874,14.483,14.483,0
2mer-0+206,0.00632352,2,0.00632352,-75.11711606,4.733731e-05,17.467,14.629,14.629,0
2mer-0+199,0.03156963,2,0.03156963,-75.08554642,4.689213e-05,16.36,14.675,14.675,0
2mer-0+215,0.01947256,2,0.01947256,-75.06607386,4.686921e-05,17.348,14.677,14.677,0
2mer-0+290,0.00735302,2,0.00735302,-75.05872084,4.591074e-05,18.084,14.778,14.778,0
2mer-0+267,0.03603455,2,0.03603455,-75.02268628,4.563028e-05,18.283,14.809,14.809,0
2mer-0+228,0.00461152,2,0.00461152,-75.01807477,4.528647e-05,18.324,14.846,14.846,0
2mer-0+339,0.11601897,2,0.11601897,-74.9020558,4.508246e-05,17.126,14.868,14.868,0
2mer-0+320,0.0941758,2,0.0941758,-74.80788,4.508246e-05,17.126,14.868,14.868,0
2mer-0+208,0.04112827,2,0.04112827,-74.76675173,4.49235e-05,17.932,14.886,14.886,0
2mer-0+253,0.0289505,2,0.0289505,-74.73780123,4.426155e-05,18.732,14.96,14.96,0
2mer-0+260,0.04122712,2,0.04122712,-74.69657411,4.369533e-05,17.784,15.024,15.024,0
2mer-0+300,0.03144602,2,0.03144602,-74.66512809,4.36466e-05,18.544,15.03,15.03,0
2mer-0+204,0.01927353,2,0.01927353,-74.64585456,4.349726e-05,18.19,15.047,15.047,0
2mer-0+282,-0.02471875,2,-0.02471875,-74.67057331,4.346848e-05,18.084,15.05,15.05,0
2mer-0+230,0.00334276,2,0.00334276,-74.66723055,4.282197e-05,18.219,15.126,15.126,0
2mer-0+379,0.04957927,2,0.04957927,-74.61765129,4.267411e-05,16.981,15.143,15.143,0
2mer-0+345,0.03547124,2,0.03547124,-74.58218005,4.257418e-05,17.428,15.155,15.155,0
2mer-0+214,0.01527498,2,0.01527498,-74.56690507,4.239307e-05,18.19,15.176,15.176,0
2mer-0+271,0.04613696,2,0.04613696,-74.52076811,4.234343e-05,16.843,15.182,15.182,0
2mer-0+264,0.02412265,2,0.02412265,-74.49664546,4.225289e-05,19.143,15.193,15.193,0
2mer-0+327,0.02077296,2,0.02077296,-74.4758725,4.131022e-05,17.939,15.308,15.308,0
2mer-0+303,0.03285223,2,0.03285223,-74.44302027,4.115073e-05,19.045,15.328,15.328,0
2mer-0+257,-0.03534635,2,-0.03534635,-74.47836662,4.092313e-05,18.039,15.356,15.356,0
2mer-0+277,0.02240904,2,0.02240904,-74.45595757,4.090509e-05,17.939,15.358,15.358,0
2mer-0+202,0.00707946,2,0.00707946,-74.44887812,4.071606e-05,18.219,15.382,15.382,0
2mer-0+337,-0.03227075,2,-0.03227075,-74.48114887,4.029466e-05,18.025,15.435,15.435,0
2mer-0+313,0.01059612,2,0.01059612,-74.47055275,4.011347e-05,18.103,15.459,15.459,0
2mer-0+326,0.02459242,2,0.02459242,-74.44596033,3.971116e-05,18.935,15.511,15.511,0
2mer-0+296,-0.03891865,2,-0.03891865,-74.48487898,3.961911e-05,17.403,15.523,15.523,0
2mer-0+289,-0.04678766,2,-0.04678766,-74.53166663,3.958425e-05,16.901,15.527,15.527,0
2mer-0+336,-0.05529089,2,-0.05529089,-74.58695753,3.878982e-05,18.197,15.633,15.633,0
2mer-0+273,0.03549773,2,0.03549773,-74.5514598,3.869726e-05,17.348,15.645,15.645,0
2mer-0+250,-0.00394478,2,-0.00394478,-74.55540458,3.863544e-05,18.544,15.653,15.653,0
2mer-0+334,0.01840991,2,0.01840991,-74.53699467,3.841584e-05,19.0,15.683,15.683,0
2mer-0+231,-0.05197614,2,-0.05197614,-74.58897081,3.832843e-05,18.103,15.695,15.695,0
2mer-0+225,-0.03358107,2,-0.03358107,-74.62255188,3.80203e-05,17.615,15.737,15.737,0
2mer-0+356,0.03237949,2,0.03237949,-74.59017239,3.775031e-05,18.358,15.775,15.775,0
2mer-0+384,0.05133357,2,0.05133357,-74.53883882,3.748416e-05,18.066,15.812,15.812,0
2mer-0+364,0.01911948,2,0.01911948,-74.51971934,3.69922e-05,19.422,15.882,15.882,0
2mer-0+240,0.0163093,2,0.0163093,-74.50341004,3.668642e-05,19.087,15.926,15.926,0
2mer-0+402,0.0659343,2,0.0659343,-74.43747574,3.656769e-05,18.066,15.943,15.943,0
2mer-0+245,0.03464423,2,0.03464423,-74.40283151,3.641513e-05,18.897,15.965,15.965,0
2mer-0+333,-0.03586503,2,-0.03586503,-74.43869654,3.633493e-05,17.844,15.977,15.977,0
2mer-0+232,-0.0415614,2,-0.0415614,-74.48025794,3.626334e-05,18.084,15.987,15.987,0
2mer-0+395,0.02734674,2,0.02734674,-74.45291121,3.611435e-05,18.358,16.009,16.009,0
2mer-0+246,0.02249771,2,0.02249771,-74.43041349,3.540578e-05,17.897,16.115,16.115,0
2mer-0+276,0.00191025,2,0.00191025,-74.42850325,3.540471e-05,18.935,16.116,16.116,0
2mer-0+279,0.02656446,2,0.02656446,-74.40193878,3.47638e-05,18.804,16.214,16.214,0
2mer-0+297,-0.0382329,2,-0.0382329,-74.44017169,3.467072e-05,19.0,16.229,16.229,0
2mer-0+275,-0.00410898,2,-0.00410898,-74.44428066,3.458614e-05,19.045,16.242,16.242,0
2mer-0+255,0.00152833,2,0.00152833,-74.44275233,3.434977e-05,18.283,16.279,16.279,0
2mer-0+409,-0.0422869,2,-0.0422869,-74.48503923,3.412715e-05,18.862,16.314,16.314,0
2mer-0+269,-0.01601438,2,-0.01601438,-74.50105361,3.40776e-05,18.084,16.322,16.322,0
2mer-0+270,0.00739453,2,0.00739453,-74.49365908,3.398047e-05,19.087,16.338,16.338,0
2mer-0+363,-0.02207973,2,-0.02207973,-74.51573881,3.338429e-05,19.422,16.434,16.434,0
2mer-0+354,0.01410162,2,0.01410162,-74.50163719,3.316007e-05,20.389,16.471,16.471,0
2mer-0+274,0.02534099,2,0.02534099,-74.4762962,3.307964e-05,19.648,16.485,16.485,0
2mer-0+420,0.0216247,2,0.0216247,-74.45467151,3.288935e-05,18.97,16.516,16.516,0
2mer-0+311,0.01390194,2,0.01390194,-74.44076957,3.251924e-05,20.02,16.579,16.579,0
2mer-0+377,0.02753627,2,0.02753627,-74.4132333,3.236661e-05,20.371,16.605,16.605,0
2mer-0+456,0.0094482,2,0.0094482,-74.40378509,3.20518e-05,18.839,16.659,16.659,0
2mer-0+266,0.0277933,2,0.0277933,-74.37599179,3.184841e-05,19.701,16.694,16.694,0
2mer-0+341,0.03332011,2,0.03332011,-74.34267168,3.165713e-05,19.143,16.728,16.728,0
2mer-0+318,-0.0412231,2,-0.0412231,-74.38389478,3.163534e-05,18.786,16.732,16.732,0
2mer-0+346,-0.03083307,2,-0.03083307,-74.41472786,3.156581e-05,20.464,16.744,16.744,0
2mer-0+419,0.03281778,2,0.03281778,-74.38191008,3.129895e-05,18.979,16.792,16.792,0
2mer-0+388,0.0089802,2,0.0089802,-74.37292988,3.125094e-05,19.0,16.8,16.8,0
2mer-0+272,0.00661734,2,0.00661734,-74.36631254,3.114697e-05,19.962,16.819,16.819,0
2mer-0+261,-0.04407755,2,-0.04407755,-74.41039009,3.099919e-05,19.0,16.846,16.846,0
2mer-0+386,-0.02280263,2,-0.02280263,-74.43319272,3.080223e-05,20.439,16.881,16.881,0
2mer-0+360,-0.00121669,2,-0.00121669,-74.43440942,3.065426e-05,19.962,16.908,16.908,0
2mer-0+477,0.05168292,2,0.05168292,-74.3827265,3.037665e-05,18.97,16.96,16.96,0
2mer-0+436,0.04937578,2,0.04937578,-74.33335072,3.032119e-05,18.979,16.97,16.97,0
2mer-0+417,0.01850496,2,0.01850496,-74.31484577,3.020464e-05,20.166,16.992,16.992,0
2mer-0+323,0.01753461,2,0.01753461,-74.29731115,2.995003e-05,20.431,17.04,17.04,0
2mer-0+332,-0.05301063,2,-0.05301063,-74.35032178,2.947596e-05,19.967,17.131,17.131,0
2mer-0+301,0.01318628,2,0.01318628,-74.3371355,2.930287e-05,18.804,17.164,17.164,0
2mer-0+278,-0.03706943,2,-0.03706943,-74.37420492,2.911498e-05,19.422,17.201,17.201,0
2mer-0+373,-0.05380397,2,-0.05380397,-74.42800889,2.902951e-05,20.33,17.218,17.218,0
2mer-0+361,-0.01286941,2,-0.01286941,-74.4408783,2.868937e-05,20.71,17.286,17.286,0
2mer-0+374,0.01552956,2,0.01552956,-74.42534874,2.864403e-05,21.216,17.295,17.295,0
2mer-0+415,-0.02189109,2,-0.02189109,-74.44723983,2.847017e-05,20.439,17.33,17.33,0
2mer-0+362,-0.00790763,2,-0.00790763,-74.45514746,2.839792e-05,20.76,17.345,17.345,0
2mer-0+399,-0.03434256,2,-0.03434256,-74.48949002,2.839228e-05,19.221,17.346,17.346,0
2mer-0+455,-0.01581707,2,-0.01581707,-74.50530709,2.82218e-05,19.742,17.381,17.381,0
2mer-0+410,-0.02185166,2,-0.02185166,-74.52715875,2.808447e-05,21.241,17.409,17.409,0
2mer-0+305,0.00923892,2,0.00923892,-74.51791983,2.779416e-05,20.766,17.47,17.47,0
2mer-0+383,-0.03270734,2,-0.03270734,-74.55062717,2.766799e-05,20.481,17.496,17.496,0
2mer-0+322,0.00246309,2,0.00246309,-74.54816408,2.746737e-05,19.351,17.539,17.539,0
2mer-0+353,0.00839319,2,0.00839319,-74.53977089,2.743307e-05,20.166,17.546,17.546,0
2mer-0+358,-0.03752982,2,-0.03752982,-74.57730071,2.712493e-05,18.786,17.612,17.612,0
2mer-0+371,0.00036223,2,0.00036223,-74.57693848,2.702871e-05,19.422,17.633,17.633,0
2mer-0+369,0.00055722,2,0.00055722,-74.57638126,2.696944e-05,20.934,17.646,17.646,0
2mer-0+453,-0.03710931,2,-0.03710931,-74.61349056,2.671756e-05,20.003,17.701,17.701,0
2mer-0+299,0.02501748,2,0.02501748,-74.58847308,2.671493e-05,20.583,17.702,17.702,0
2mer-0+352,-8.616e-05,2,-8.616e-05,-74.58855924,2.637697e-05,20.371,17.777,17.777,0
2mer-0+324,0.02566197,2,0.02566197,-74.56289727,2.634041e-05,20.642,17.785,17.785,0
2mer-0+411,-0.0407412,2,-0.0407412,-74.60363847,2.607161e-05,20.784,17.846,17.846,0
2mer-0+349,-0.04074248,2,-0.04074248,-74.64438095,2.595218e-05,20.432,17.874,17.874,0
2mer-0+475,0.0198911,2,0.0198911,-74.62448984,2.594601e-05,21.467,17.875,17.875,0
2mer-0+478,-0.03154997,2,-0.03154997,-74.65603982,2.578775e-05,20.551,17.911,17.911,0
2mer-0+393,0.00068011,2,0.00068011,-74.65535971,2.568825e-05,20.766,17.935,17.935,0
2mer-0+449,-0.04255971,2,-0.04255971,-74.69791942,2.553258e-05,21.133,17.971,17.971,0
2mer-0+422,-0.02820373,2,-0.02820373,-74.72612316,2.536102e-05,20.584,18.011,18.011,0
2mer-0+416,-0.00456749,2,-0.00456749,-74.73069065,2.507826e-05,21.598,18.079,18.079,0
2mer-0+435,0.02192397,2,0.02192397,-74.70876668,2.506025e-05,21.294,18.083,18.083,0
2mer-0+508,0.00120827,2,0.00120827,-74.70755841,2.482907e-05,20.658,18.139,18.139,0
2mer-0+421,-0.01673614,2,-0.01673614,-74.72429454,2.469415e-05,21.454,18.172,18.172,0
2mer-0+466,-0.04220191,2,-0.04220191,-74.76649645,2.439397e-05,21.481,18.246,18.246,0
2mer-0+372,-0.04289086,2,-0.04289086,-74.80938731,2.432614e-05,20.784,18.263,18.263,0
2mer-0+469,0.02026444,2,0.02026444,-74.78912287,2.421362e-05,20.901,18.291,18.291,0
2mer-0+470,0.02628321,2,0.02628321,-74.76283966,2.415044e-05,20.02,18.307,18.307,0
2mer-0+432,-0.03001903,2,-0.03001903,-74.79285868,2.400672e-05,21.231,18.344,18.344,0
2mer-0+526,0.00891248,2,0.00891248,-74.78394621,2.400281e-05,21.833,18.345,18.345,0
2mer-0+405,-0.04221403,2,-0.04221403,-74.82616023,2.400147e-05,21.133,18.345,18.345,0
2mer-0+438,0.00794866,2,0.00794866,-74.81821157,2.386041e-05,21.961,18.381,18.381,0
2mer-0+401,0.00106214,2,0.00106214,-74.81714943,2.380202e-05,21.0,18.396,18.396,0
2mer-0+527,0.01880862,2,0.01880862,-74.79834081,2.377178e-05,20.901,18.404,18.404,0
2mer-0+482,0.01619134,2,0.01619134,-74.78214946,2.366678e-05,21.091,18.431,18.431,0
2mer-0+505,0.01785117,2,0.01785117,-74.7642983,2.295474e-05,21.866,18.62,18.62,0
2mer-0+484,-0.0141694,2,-0.0141694,-74.7784677,2.292842e-05,21.467,18.627,18.627,0
2mer-0+495,-0.01940996,2,-0.01940996,-74.79787766,2.278878e-05,21.241,18.665,18.665,0
2mer-0+547,0.014221,2,0.014221,-74.78365666,2.269433e-05,22.213,18.691,18.691,0
2mer-0+404,0.01695673,2,0.01695673,-74.76669993,2.26751e-05,20.45,18.696,18.696,0
2mer-0+490,0.02030743,2,0.02030743,-74.7463925,2.263431e-05,22.376,18.707,18.707,0
2mer-0+414,-0.00318072,2,-0.00318072,-74.74957322,2.261455e-05,21.581,18.713,18.713,0
2mer-0+427,0.01250254,2,0.01250254,-74.73707068,2.2571e-05,21.249,18.725,18.725,0
2mer-0+524,0.00287142,2,0.00287142,-74.73419926,2.241215e-05,22.672,18.769,18.769,0
