N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+58,0.71115632,2,0.71115632,-96.38415883,0.0005879759,10.889,6.317,6.317,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='72b47b9')"
2mer-0+16,-0.18215786,2,-0.18215786,-96.56631669,0.0005830957,10.617,6.334,6.334,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='345ca98')"
2mer-0+26,-0.17032742,2,-0.17032742,-96.7366441,0.0005533146,10.696,6.446,6.446,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e736e2b')"
2mer-0+32,0.30180292,2,0.30180292,-96.43484118,0.0004672038,10.926,6.82,6.82,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f9c74da')"
2mer-0+61,-0.62618625,2,-0.62618625,-97.06102742,0.0004496706,11.063,6.907,6.907,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c7a93bb')"
2mer-0+55,-0.41511539,2,-0.41511539,-97.47614281,0.0004282162,11.539,7.021,7.021,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c5b5d46')"
2mer-0+42,-0.55350118,2,-0.55350118,-98.029644,0.0004258938,10.492,7.033,7.033,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1bf8abe')"
2mer-0+31,0.30586419,2,0.30586419,-97.72377981,0.0004193392,10.902,7.07,7.07,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e23e3cc')"
2mer-0+22,-0.12298075,2,-0.12298075,-97.84676056,0.000373775,10.112,7.346,7.346,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='8885261')"
2mer-0+33,-0.45698301,2,-0.45698301,-98.30374357,0.0003677421,12.037,7.386,7.386,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='16e10df')"
2mer-0+29,0.07885607,2,0.07885607,-98.2248875,0.0003665355,10.444,7.394,7.394,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='2a4818a')"
2mer-0+19,-0.87006254,2,-0.87006254,-99.09495004,0.0003655276,10.696,7.401,7.401,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ef6d8ed')"
2mer-0+56,0.31848641,2,0.31848641,-98.77646363,0.0002906819,12.114,7.988,7.988,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f448ba0')"
2mer-0+28,0.46478393,2,0.46478393,-98.3116797,0.0002809681,12.999,8.079,8.079,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='123e766')"
2mer-0+43,0.25956503,2,0.25956503,-98.05211467,0.0002766333,12.065,8.121,8.121,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='57d06f7')"
2mer-0+51,-0.04787207,2,-0.04787207,-98.09998675,0.0002423795,12.065,8.487,8.487,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='82defea')"
2mer-0+50,-0.04123726,2,-0.04123726,-98.14122401,0.0002171679,13.3,8.804,8.804,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f04cf75')"
2mer-0+45,0.39766891,2,0.39766891,-97.7435551,0.0001954588,14.207,9.118,9.118,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='680f76c')"
2mer-0+48,-0.17463128,2,-0.17463128,-97.91818638,0.0001828357,13.74,9.324,9.324,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='31a9ea1')"
2mer-0+113,0.13502215,2,0.13502215,-97.78316423,0.0001814965,13.872,9.346,9.346,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='b682e05')"
2mer-0+54,0.04424973,2,0.04424973,-97.73891449,0.0001798973,12.42,9.374,9.374,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='01e5eb8')"
2mer-0+38,-0.16661194,2,-0.16661194,-97.90552644,0.0001736654,13.195,9.485,9.485,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1e0a0cf')"
2mer-0+46,-0.19717209,2,-0.19717209,-98.10269852,0.0001669422,13.89,9.61,9.61,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1f7581e')"
2mer-0+107,-0.2631418,2,-0.2631418,-98.36584032,0.0001614951,13.989,9.717,9.717,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='d143ea4')"
2mer-0+84,-0.04251132,2,-0.04251132,-98.40835165,0.0001559373,14.678,9.831,9.831,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='bd5a112')"
2mer-0+70,0.08525953,2,0.08525953,-98.32309212,0.0001428376,14.018,10.123,10.123,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='5fa4285')"
2mer-0+82,-0.03681375,2,-0.03681375,-98.35990587,0.000135335,14.088,10.307,10.307,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='a5b7620')"
2mer-0+77,0.25474355,2,0.25474355,-98.10516232,0.0001312216,15.505,10.414,10.414,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c9dfd18')"
2mer-0+49,-0.23180386,2,-0.23180386,-98.33696618,0.0001279462,13.778,10.502,10.502,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='3272b22')"
2mer-0+57,0.02813262,2,0.02813262,-98.30883356,0.00012539,14.193,10.573,10.573,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fffeefb')"
2mer-0+111,-0.14811626,2,-0.14811626,-98.45694982,0.000119921,14.125,10.731,10.731,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f899bf9')"
2mer-0+93,-0.14149833,2,-0.14149833,-98.59844815,0.0001195519,14.501,10.742,10.742,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='06d1fae')"
2mer-0+85,-0.07807803,2,-0.07807803,-98.67652618,0.0001177879,15.078,10.795,10.795,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='4824930')"
2mer-0+81,-0.10186798,2,-0.10186798,-98.77839416,0.0001168018,15.215,10.826,10.826,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='01cb54e')"
2mer-0+76,0.01349394,2,0.01349394,-98.76490022,0.000116085,14.678,10.848,10.848,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='d52613e')"
2mer-0+91,-0.19173625,2,-0.19173625,-98.95663647,0.00011297,14.193,10.947,10.947,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c4dbc4c')"
2mer-0+102,0.10361333,2,0.10361333,-98.85302314,0.000112559,14.963,10.96,10.96,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='3e9e234')"
2mer-0+60,-0.14827996,2,-0.14827996,-99.0013031,0.0001124287,15.078,10.964,10.964,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='8b4df44')"
2mer-0+106,0.04345334,2,0.04345334,-98.95784976,0.0001111,15.368,11.008,11.008,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='78eca23')"
2mer-0+66,0.05163117,2,0.05163117,-98.90621859,0.0001100819,14.088,11.042,11.042,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='7ba49ab')"
2mer-0+79,-0.08111105,2,-0.08111105,-98.98732964,0.0001058909,14.9,11.185,11.185,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='96bbc4e')"
2mer-0+98,-0.05898217,2,-0.05898217,-99.04631182,0.0001007274,16.254,11.373,11.373,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fc476ad')"
2mer-0+68,-0.07782481,2,-0.07782481,-99.12413663,9.486744e-05,15.505,11.603,11.603,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9bc09d6')"
2mer-0+104,-0.15115052,2,-0.15115052,-99.27528715,9.269484e-05,15.169,11.693,11.693,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fa723c8')"
2mer-0+83,-0.09773869,2,-0.09773869,-99.37302584,9.150401e-05,16.04,11.743,11.743,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='869ca2d')"
2mer-0+115,0.04359846,2,0.04359846,-99.32942738,9.051065e-05,16.294,11.786,11.786,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c4df7e0')"
2mer-0+71,-0.15365142,2,-0.15365142,-99.4830788,8.811695e-05,15.215,11.892,11.892,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9031f0b')"
2mer-0+112,0.10007832,2,0.10007832,-99.38300047,8.753823e-05,15.977,11.918,11.918,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='dd79b58')"
2mer-0+67,-0.06674317,2,-0.06674317,-99.44974364,8.719906e-05,15.688,11.933,11.933,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='822389d')"
2mer-0+72,-0.06771404,2,-0.06771404,-99.51745769,8.147666e-05,15.169,12.206,12.206,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ac3424b')"
2mer-0+103,0.07026029,2,0.07026029,-99.4471974,7.806072e-05,16.164,12.382,12.382,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='0d2f9c3')"
2mer-0+87,0.09882463,2,0.09882463,-99.34837277,7.613994e-05,17.417,12.485,12.485,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='127080c')"
2mer-0+180,-0.09883552,2,-0.09883552,-99.44720829,7.433386e-05,16.418,12.586,12.586,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='69374c2')"
2mer-0+207,0.09075596,2,0.09075596,-99.35645233,7.263878e-05,17.28,12.683,12.683,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='3a12c4f')"
2mer-0+116,-0.00901796,2,-0.00901796,-99.36547029,7.193427e-05,17.399,12.724,12.724,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='215d5db')"
2mer-0+194,-0.02947797,2,-0.02947797,-99.39494826,7.185173e-05,17.329,12.729,12.729,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='95bbd92')"
2mer-0+92,-0.01555387,2,-0.01555387,-99.41050213,7.158647e-05,17.167,12.745,12.745,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1ae6c45')"
2mer-0+134,-0.03772748,2,-0.03772748,-99.44822961,7.110469e-05,16.258,12.773,12.773,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='eb3f6d3')"
2mer-0+118,-0.02951594,2,-0.02951594,-99.47774554,7.090649e-05,16.164,12.785,12.785,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='20d2498')"
2mer-0+130,0.02370868,2,0.02370868,-99.45403687,6.868329e-05,17.183,12.922,12.922,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='b307153')"
2mer-0+149,0.07858244,2,0.07858244,-99.37545442,6.866851e-05,17.141,12.923,12.923,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='712a4d5')"
2mer-0+119,0.03470239,2,0.03470239,-99.34075203,6.834036e-05,16.526,12.943,12.943,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='eb01365')"
2mer-0+99,0.1231898,2,0.1231898,-99.21756223,6.544487e-05,18.313,13.131,13.131,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='a7b4527')"
2mer-0+110,0.00471044,2,0.00471044,-99.21285179,6.466983e-05,16.227,13.184,13.184,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='430117c')"
2mer-0+157,-0.05715729,2,-0.05715729,-99.27000907,6.460062e-05,17.399,13.188,13.188,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e477a46')"
2mer-0+94,0.01026635,2,0.01026635,-99.25974273,6.383851e-05,16.016,13.241,13.241,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9049a8c')"
2mer-0+142,0.04843667,2,0.04843667,-99.21130605,6.312445e-05,17.141,13.29,13.29,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='813f8b1')"
2mer-0+101,0.01095906,2,0.01095906,-99.20034699,6.19391e-05,17.712,13.375,13.375,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='4263054')"
2mer-0+129,0.09063868,2,0.09063868,-99.10970831,6.076318e-05,18.491,13.46,13.46,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='25f214e')"
2mer-0+219,-0.01106567,2,-0.01106567,-99.12077398,6.043879e-05,18.131,13.484,13.484,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='428e20c')"
2mer-0+143,-0.07438669,2,-0.07438669,-99.19516067,5.665257e-05,18.505,13.778,13.778,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='5f321e9')"
2mer-0+255,0.10168916,2,0.10168916,-99.09347152,5.535373e-05,18.891,13.885,13.885,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ea1babb')"
2mer-0+178,-0.01279509,2,-0.01279509,-99.10626661,5.529443e-05,18.197,13.89,13.89,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6e12ca8')"
2mer-0+159,0.01141898,2,0.01141898,-99.09484763,5.52268e-05,17.7,13.896,13.896,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='5c4f216')"
2mer-0+208,0.05325344,2,0.05325344,-99.04159419,5.496258e-05,18.446,13.918,13.918,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9cd208b')"
2mer-0+124,-0.03792013,2,-0.03792013,-99.07951432,5.448667e-05,18.287,13.958,13.958,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='d2b1a69')"
2mer-0+121,-0.02415925,2,-0.02415925,-99.10367357,4.950088e-05,18.491,14.412,14.412,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ea1199e')"
2mer-0+179,-0.04613457,2,-0.04613457,-99.14980814,4.845289e-05,18.633,14.515,14.515,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='04a5f7a')"
2mer-0+168,0.00143412,2,0.00143412,-99.14837402,4.839335e-05,18.871,14.521,14.521,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f0bb0d2')"
2mer-0+172,0.02573337,2,0.02573337,-99.12264065,4.812293e-05,18.51,14.548,14.548,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6616b10')"
2mer-0+147,0.0060258,2,0.0060258,-99.11661486,4.762804e-05,18.197,14.599,14.599,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='144ec29')"
2mer-0+264,-0.0175347,2,-0.0175347,-99.13414955,4.678379e-05,18.835,14.686,14.686,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='5ebdc00')"
2mer-0+184,-0.04987827,2,-0.04987827,-99.18402782,4.646529e-05,18.521,14.719,14.719,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='53444a4')"
2mer-0+221,-0.07114318,2,-0.07114318,-99.255171,4.577507e-05,18.707,14.793,14.793,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='4807c35')"
2mer-0+269,-0.0145076,2,-0.0145076,-99.2696786,4.474886e-05,19.383,14.905,14.905,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='bf67c2a')"
2mer-0+174,0.01276573,2,0.01276573,-99.25691287,4.451637e-05,19.297,14.931,14.931,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='a1ff2df')"
2mer-0+136,-0.01553877,2,-0.01553877,-99.27245164,4.447992e-05,18.121,14.935,14.935,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ea42bc6')"
2mer-0+140,-0.0316912,2,-0.0316912,-99.30414284,4.440808e-05,18.521,14.943,14.943,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6caf71c')"
2mer-0+141,-0.05323676,2,-0.05323676,-99.3573796,4.146865e-05,18.871,15.288,15.288,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='a670b83')"
2mer-0+170,0.01138426,2,0.01138426,-99.34599533,4.098213e-05,18.729,15.349,15.349,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='7d920e6')"
2mer-0+151,-0.03733016,2,-0.03733016,-99.38332549,4.085194e-05,19.283,15.365,15.365,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='d19a361')"
2mer-0+188,-0.00142887,2,-0.00142887,-99.38475436,4.063368e-05,19.95,15.392,15.392,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e4f6c7a')"
2mer-0+253,-0.01771792,2,-0.01771792,-99.40247228,4.006764e-05,19.427,15.465,15.465,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='88d45d2')"
2mer-0+230,-0.02956912,2,-0.02956912,-99.4320414,4.002667e-05,18.809,15.47,15.47,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c861403')"
2mer-0+181,-0.00491518,2,-0.00491518,-99.43695658,3.982461e-05,18.63,15.496,15.496,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f1f3a69')"
2mer-0+150,-0.03665168,2,-0.03665168,-99.47360825,3.971755e-05,18.55,15.51,15.51,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='efbc41f')"
2mer-0+218,0.02080854,2,0.02080854,-99.45279972,3.944616e-05,19.446,15.545,15.545,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='a2d4940')"
2mer-0+212,-0.03579182,2,-0.03579182,-99.48859153,3.904468e-05,19.093,15.598,15.598,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='40ad307')"
2mer-0+152,-0.0429835,2,-0.0429835,-99.53157504,3.891094e-05,18.633,15.616,15.616,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cba48ea')"
2mer-0+173,0.0458872,2,0.0458872,-99.48568783,3.877631e-05,20.549,15.634,15.634,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='81856ab')"
2mer-0+169,-0.0328148,2,-0.0328148,-99.51850263,3.854699e-05,19.961,15.665,15.665,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='b3f2ed6')"
2mer-0+155,-0.01814322,2,-0.01814322,-99.53664585,3.786073e-05,19.769,15.759,15.759,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='99a34c2')"
2mer-0+175,-0.00796047,2,-0.00796047,-99.54460632,3.778719e-05,19.398,15.77,15.77,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='087302f')"
2mer-0+158,0.01362809,2,0.01362809,-99.53097824,3.758718e-05,20.31,15.797,15.797,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='73474eb')"
2mer-0+265,-0.02248821,2,-0.02248821,-99.55346645,3.749647e-05,20.146,15.81,15.81,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cfb6f37')"
2mer-0+232,-0.00165877,2,-0.00165877,-99.55512522,3.616175e-05,20.894,16.002,16.002,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='38431d5')"
2mer-0+245,0.01614379,2,0.01614379,-99.53898142,3.545201e-05,20.688,16.108,16.108,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='66d8a80')"
2mer-0+191,-0.01052926,2,-0.01052926,-99.54951068,3.51472e-05,20.61,16.155,16.155,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ad7bb88')"
2mer-0+229,0.03138777,2,0.03138777,-99.51812291,3.499364e-05,20.236,16.178,16.178,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='573b61d')"
2mer-0+186,0.00588454,2,0.00588454,-99.51223836,3.454008e-05,19.856,16.249,16.249,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e5039dd')"
2mer-0+215,-0.02165867,2,-0.02165867,-99.53389703,3.443805e-05,20.905,16.265,16.265,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6fe46b3')"
2mer-0+270,0.02826154,2,0.02826154,-99.5056355,3.418248e-05,20.43,16.305,16.305,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='601f349')"
2mer-0+227,-0.00888271,2,-0.00888271,-99.51451821,3.414277e-05,19.781,16.312,16.312,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9e02ad9')"
2mer-0+193,-0.03801422,2,-0.03801422,-99.55253243,3.397133e-05,20.484,16.339,16.339,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='7011697')"
2mer-0+306,0.00307232,2,0.00307232,-99.54946012,3.353307e-05,21.151,16.41,16.41,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='4e54b24')"
2mer-0+214,0.04750366,2,0.04750366,-99.50195645,3.345103e-05,21.466,16.423,16.423,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='25095ef')"
2mer-0+348,0.00541689,2,0.00541689,-99.49653957,3.341442e-05,20.833,16.429,16.429,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fe286af')"
2mer-0+226,0.00838818,2,0.00838818,-99.48815138,3.335457e-05,20.236,16.439,16.439,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cac484b')"
2mer-0+187,0.0541963,2,0.0541963,-99.43395508,3.331756e-05,21.553,16.445,16.445,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='b669ed3')"
2mer-0+203,0.00893598,2,0.00893598,-99.4250191,3.311061e-05,20.456,16.48,16.48,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='0158d43')"
2mer-0+247,0.0255192,2,0.0255192,-99.3994999,3.196611e-05,20.679,16.674,16.674,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='685ec03')"
2mer-0+223,-9.821e-05,2,-9.821e-05,-99.39959812,3.137928e-05,20.894,16.777,16.777,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f7bf55d')"
2mer-0+318,-0.04828484,2,-0.04828484,-99.44788296,3.115841e-05,20.587,16.817,16.817,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6c6966b')"
2mer-0+239,0.01143305,2,0.01143305,-99.4364499,3.102639e-05,21.392,16.841,16.841,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='eb23f3b')"
2mer-0+240,-0.03526939,2,-0.03526939,-99.47171929,3.084029e-05,19.856,16.874,16.874,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fd39aeb')"
2mer-0+256,-0.02902419,2,-0.02902419,-99.50074348,3.023435e-05,20.456,16.986,16.986,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='228f5e4')"
2mer-0+196,-0.0013178,2,-0.0013178,-99.50206128,3.011376e-05,19.781,17.009,17.009,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cc77108')"
2mer-0+252,-0.01116923,2,-0.01116923,-99.51323051,3.004016e-05,21.878,17.023,17.023,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='17139a6')"
2mer-0+352,-0.02719619,2,-0.02719619,-99.5404267,3.000133e-05,20.782,17.03,17.03,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='9d398b3')"
2mer-0+241,-0.0031316,2,-0.0031316,-99.5435583,2.971475e-05,21.525,17.085,17.085,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='2f11c12')"
2mer-0+197,-0.02882763,2,-0.02882763,-99.57238593,2.969516e-05,20.905,17.089,17.089,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='4a70977')"
2mer-0+266,0.02126541,2,0.02126541,-99.55112052,2.969343e-05,21.6,17.089,17.089,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='91ffc06')"
2mer-0+177,-0.0295175,2,-0.0295175,-99.58063802,2.959283e-05,20.009,17.108,17.108,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6f2a0c3')"
2mer-0+211,-0.01912374,2,-0.01912374,-99.59976176,2.946641e-05,21.525,17.133,17.133,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6ef5cbd')"
2mer-0+205,-0.00175101,2,-0.00175101,-99.60151277,2.920656e-05,21.466,17.183,17.183,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='5200b08')"
2mer-0+228,0.04549362,2,0.04549362,-99.55601915,2.829359e-05,22.542,17.366,17.366,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fd0c4ac')"
2mer-0+299,0.00358989,2,0.00358989,-99.55242926,2.79485e-05,21.6,17.437,17.437,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f1373e5')"
2mer-0+249,0.0131168,2,0.0131168,-99.53931246,2.77427e-05,21.309,17.48,17.48,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6ca530a')"
2mer-0+316,0.03053671,2,0.03053671,-99.50877575,2.757712e-05,21.785,17.515,17.515,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='2594c4c')"
2mer-0+278,-0.03457894,2,-0.03457894,-99.54335469,2.750123e-05,20.565,17.531,17.531,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='29df1d3')"
2mer-0+199,-0.00943536,2,-0.00943536,-99.55279004,2.702635e-05,20.565,17.634,17.634,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fc12766')"
2mer-0+441,0.02472051,2,0.02472051,-99.52806953,2.67451e-05,22.441,17.695,17.695,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1273d84')"
2mer-0+235,0.00278703,2,0.00278703,-99.5252825,2.624729e-05,22.21,17.806,17.806,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fb01372')"
2mer-0+283,-0.01266401,2,-0.01266401,-99.53794651,2.610051e-05,22.71,17.84,17.84,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='d073a9d')"
