N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+33,-0.03948346,2,-0.03948346,-70.08969165,0.0006197606,8.521,6.207,6.207,0.0597120337188243,-0.03948346,0.020228573718824305,-0.11845038,-66.65832999453988,-70.08969163499998,0.0
2mer-0+52,-0.91707765,1,-0.45853883,-70.54823048,0.0005989168,8.883,6.278,6.278,0.0315765365958213,-0.458538825,-0.44275055670208935,-2.75123295,-67.10108055124198,-70.54823045999998,0.0
2mer-0+30,-0.32088417,2,-0.32088417,-70.86911465,0.0005904304,9.401,6.308,6.308,0.0388419106602668,-0.32088417,-0.2820422593397332,-0.9626525100000001,-67.38312281058171,-70.86911462999998,0.0
2mer-0+69,-0.44794345,1,-0.22397173,-71.09308637,0.0005222903,9.361,6.571,6.571,0.0235551334917545,-0.223971725,-0.21219415825412277,-1.3438303500000002,-67.59531696883583,-71.09308635499998,0.0
2mer-0+28,0.19858359,2,0.19858359,-70.89450278,0.000461699,10.628,6.847,6.847,0.0153222754597663,0.19858359,0.2139058654597663,0.59575077,-67.38141110337607,-70.89450276499998,0.0
2mer-0+32,-0.29185788,2,-0.29185788,-71.18636066,0.0004369541,9.401,6.974,6.974,0.0134350005537271,-0.29185788,-0.2784228794462729,-0.87557364,-67.65983398282233,-71.18636064499998,0.0
2mer-0+25,0.24112192,2,0.24112192,-70.94523874,0.0004259554,10.039,7.033,7.033,0.0095393285155296,0.24112192,0.25066124851552957,0.72336576,-67.40917273430681,-70.94523872499998,0.0
2mer-0+61,-0.52968967,1,-0.26484484,-71.21008358,0.0004183404,10.241,7.076,7.076,0.009287180379033,-0.264844835,-0.2602012448104835,-1.58906901,-67.6693739791173,-71.21008355999999,0.0
2mer-0+72,-0.57244817,1,-0.28622409,-71.49630766,0.0004042283,9.894,7.157,7.157,0.0074388333596289,-0.286224085,-0.28250466832018556,-1.7173445100000002,-67.95187864743748,-71.49630764499999,0.0
2mer-0+20,-0.12700087,1,-0.06350043,-71.5598081,0.0003923295,10.307,7.229,7.229,0.0174799188971519,-0.063500435,-0.05476047555142405,-0.38100260999999996,-68.0066391229889,-71.55980807999998,0.0
2mer-0+41,-0.16369877,1,-0.08184938,-71.64165748,0.0003753932,10.419,7.336,7.336,0.0211403518915176,-0.081849385,-0.07127920905424119,-0.49109631,-68.07791833204314,-71.64165746499998,0.0
2mer-0+80,-0.04518647,1,-0.02259323,-71.66425072,0.0003734767,9.975,7.348,7.348,0.0165798477828502,-0.022593235,-0.0143033111085749,-0.13555941,-68.09222164315172,-71.66425069999998,0.0
2mer-0+26,-0.06619617,2,-0.06619617,-71.73044689,0.0003643697,9.038,7.409,7.409,0.0149024873971939,-0.06619617,-0.0512936826028061,-0.19858851,-68.14351532575452,-71.73044686999998,0.0
2mer-0+23,-0.0491728,1,-0.0245864,-71.75503329,0.0003600079,10.414,7.439,7.439,0.0132365031167864,-0.0245864,-0.017968148441606803,-0.1475184,-68.16148347419613,-71.75503326999998,0.0
2mer-0+74,0.23293485,1,0.11646742,-71.63856587,0.0003583991,9.447,7.45,7.45,0.002609999384731,0.116467425,0.1177724246923655,0.69880455,-68.04371104950377,-71.63856584499999,0.0
2mer-0+39,0.02050692,1,0.01025346,-71.62831241,0.0003494859,8.091,7.513,7.513,0.0131703438237309,0.01025346,0.01683863191186545,0.06152076000000001,-68.0268724175919,-71.62831238499999,0.0
2mer-0+63,0.20163427,2,0.20163427,-71.42667814,0.0003074647,10.302,7.84,7.84,0.0019490434788167,0.20163427,0.2035833134788167,0.60490281,-67.82328910411309,-71.42667811499999,0.0
2mer-0+53,-0.17738214,1,-0.08869107,-71.51536921,0.0002995302,10.489,7.909,7.909,0.0030146637000143,-0.08869107,-0.08718373814999285,-0.53214642,-67.91047284226308,-71.51536918499998,0.0
2mer-0+43,-0.06680576,1,-0.03340288,-71.54877209,0.0002974733,12.136,7.927,7.927,0.0038981474936008,-0.03340288,-0.0314538062531996,-0.20041728000000003,-67.94192664851627,-71.54877206499998,0.0
2mer-0+93,-0.69425551,1,-0.34712775,-71.89589984,0.0002908666,10.457,7.987,7.987,0.0015732968458905,-0.347127755,-0.34634110657705475,-2.08276653,-68.28826775509333,-71.89589981999998,0.0
2mer-0+70,0.20371588,1,0.10185794,-71.7940419,0.0002882706,10.552,8.011,8.011,0.0,0.10185794,0.10185794,0.61114764,-68.18640981509333,-71.79404187999998,0.0
2mer-0+65,-0.21631113,2,-0.21631113,-72.01035303,0.0002758886,10.633,8.129,8.129,0.0,-0.21631113,-0.21631113,-0.6489333899999999,-68.40272094509332,-72.01035300999997,0.0
2mer-0+82,-0.28305317,1,-0.14152659,-72.15187962,0.0002691638,9.223,8.196,8.196,0.0,-0.141526585,-0.141526585,-0.84915951,-68.54424753009332,-72.15187959499997,0.0
2mer-0+121,0.35873132,1,0.17936566,-71.97251396,0.0002615345,10.354,8.275,8.275,0.0,0.17936566,0.17936566,1.0761939600000001,-68.36488187009331,-71.97251393499997,0.0
2mer-0+36,-0.22603242,1,-0.11301621,-72.08553017,0.0002602277,9.272,8.289,8.289,0.0,-0.11301621,-0.11301621,-0.67809726,-68.47789808009331,-72.08553014499996,0.0
2mer-0+59,-0.0685398,1,-0.0342699,-72.11980007,0.0002471891,10.382,8.432,8.432,0.0,-0.0342699,-0.0342699,-0.2056194,-68.51216798009331,-72.11980004499996,0.0
2mer-0+60,-0.10182384,1,-0.05091192,-72.17071199,0.0002443155,11.454,8.465,8.465,0.0,-0.05091192,-0.05091192,-0.30547152,-68.56307990009331,-72.17071196499997,0.0
2mer-0+57,0.05971133,1,0.02985567,-72.14085633,0.0002414284,10.781,8.498,8.498,0.0,0.029855665,0.029855665,0.17913399,-68.53322423509331,-72.14085629999997,0.0
2mer-0+109,0.24119219,1,0.12059609,-72.02026023,0.0002390681,12.212,8.526,8.526,0.0,0.120596095,0.120596095,0.72357657,-68.41262814009332,-72.02026020499997,0.0
2mer-0+40,0.10792458,1,0.05396229,-71.96629794,0.0002305856,12.267,8.63,8.63,0.0,0.05396229,0.05396229,0.32377374000000003,-68.35866585009332,-71.96629791499997,0.0
2mer-0+44,0.01335229,1,0.00667614,-71.9596218,0.0002235771,12.931,8.719,8.719,0.0,0.006676145,0.006676145,0.040056869999999994,-68.35198970509332,-71.95962176999997,0.0
2mer-0+47,-0.02948162,2,-0.02948162,-71.98910342,0.0002189446,10.628,8.78,8.78,0.0,-0.02948162,-0.02948162,-0.08844486,-68.38147132509332,-71.98910338999997,0.0
2mer-0+76,0.02024789,2,0.02024789,-71.96885553,0.0002089454,12.124,8.918,8.918,0.0,0.02024789,0.02024789,0.06074367,-68.36122343509332,-71.96885549999998,0.0
2mer-0+91,-0.36466026,1,-0.18233013,-72.15118566,0.0002073483,12.108,8.941,8.941,0.0,-0.18233013,-0.18233013,-1.09398078,-68.54355356509332,-72.15118562999997,0.0
2mer-0+98,0.14618705,2,0.14618705,-72.00499862,0.000201321,12.676,9.029,9.029,0.0,0.14618705,0.14618705,0.43856115000000007,-68.39736651509332,-72.00499857999998,0.0
2mer-0+56,0.04821395,1,0.02410698,-71.98089164,0.000199997,12.707,9.049,9.049,0.0,0.024106975,0.024106975,0.14464185,-68.37325954009333,-71.98089160499998,0.0
2mer-0+49,-0.00277834,1,-0.00138917,-71.98228081,0.0001972455,12.655,9.091,9.091,0.0,-0.00138917,-0.00138917,-0.008335019999999999,-68.37464871009333,-71.98228077499998,0.0
2mer-0+67,-0.0720497,1,-0.03602485,-72.01830566,0.0001949931,12.492,9.126,9.126,0.0,-0.03602485,-0.03602485,-0.21614909999999998,-68.41067356009333,-72.01830562499998,0.0
2mer-0+45,-0.14352074,2,-0.14352074,-72.1618264,0.0001924843,12.7,9.165,9.165,0.0,-0.14352074,-0.14352074,-0.43056222,-68.55419430009333,-72.16182636499998,0.0
2mer-0+102,-0.28498165,1,-0.14249083,-72.30431722,0.0001828761,11.424,9.323,9.323,0.0,-0.142490825,-0.142490825,-0.8549449499999999,-68.69668512509332,-72.30431718999998,0.0
2mer-0+170,-0.01379975,1,-0.00689988,-72.3112171,0.0001708391,12.575,9.537,9.537,0.0,-0.006899875,-0.006899875,-0.04139925,-68.70358500009333,-72.31121706499998,0.0
2mer-0+155,0.24751837,1,0.12375919,-72.18745791,0.0001684239,12.627,9.582,9.582,0.0,0.123759185,0.123759185,0.74255511,-68.57982581509333,-72.18745787999998,0.0
2mer-0+64,-0.07638176,2,-0.07638176,-72.26383967,0.0001537486,12.588,9.878,9.878,0.0,-0.07638176,-0.07638176,-0.22914528,-68.65620757509333,-72.26383963999999,0.0
2mer-0+161,-0.35471987,1,-0.17735993,-72.44119961,0.0001514074,12.818,9.929,9.929,0.0,-0.177359935,-0.177359935,-1.06415961,-68.83356751009333,-72.44119957499998,0.0
2mer-0+50,0.15368987,2,0.15368987,-72.28750974,0.0001494351,12.956,9.972,9.972,0.0,0.15368987,0.15368987,0.46106961,-68.67987764009334,-72.28750970499999,0.0
2mer-0+85,0.10280008,1,0.05140004,-72.23610969,0.0001464675,13.383,10.039,10.039,0.0,0.05140004,0.05140004,0.30840024,-68.62847760009333,-72.23610966499999,0.0
2mer-0+66,0.06117165,2,0.06117165,-72.17493805,0.0001455167,12.956,10.061,10.061,0.0,0.06117165,0.06117165,0.18351495,-68.56730595009333,-72.17493801499998,0.0
2mer-0+92,0.00088928,2,0.00088928,-72.17404877,0.0001455131,13.421,10.061,10.061,0.0,0.00088928,0.00088928,0.00266784,-68.56641667009333,-72.17404873499999,0.0
2mer-0+84,-0.10317249,1,-0.05158624,-72.22563501,0.0001436071,12.361,10.105,10.105,0.0,-0.051586245,-0.051586245,-0.30951747,-68.61800291509333,-72.22563497999998,0.0
2mer-0+167,-0.17943756,1,-0.08971878,-72.3153538,0.0001434886,12.881,10.108,10.108,0.0,-0.08971878,-0.08971878,-0.53831268,-68.70772169509333,-72.31535375999998,0.0
2mer-0+58,-0.12084779,1,-0.06042389,-72.37577769,0.0001418652,12.398,10.146,10.146,0.0,-0.060423895,-0.060423895,-0.36254337,-68.76814559009333,-72.37577765499998,0.0
2mer-0+94,-0.03079969,1,-0.01539984,-72.39117753,0.0001416858,12.87,10.151,10.151,0.0,-0.015399845,-0.015399845,-0.09239907,-68.78354543509333,-72.39117749999998,0.0
2mer-0+157,0.42906164,1,0.21453082,-72.17664671,0.0001395147,12.438,10.203,10.203,0.0,0.21453082,0.21453082,1.28718492,-68.56901461509334,-72.17664667999999,0.0
2mer-0+88,0.00916234,2,0.00916234,-72.16748438,0.0001394325,12.124,10.205,10.205,0.0,0.00916234,0.00916234,0.02748702,-68.55985227509333,-72.16748433999999,0.0
2mer-0+83,0.13961074,1,0.06980537,-72.09767901,0.000138723,13.471,10.222,10.222,0.0,0.06980537,0.06980537,0.41883222000000003,-68.49004690509334,-72.09767896999999,0.0
2mer-0+163,-0.1098493,1,-0.05492465,-72.15260365,0.0001363043,12.852,10.282,10.282,0.0,-0.05492465,-0.05492465,-0.3295479,-68.54497155509334,-72.15260362,0.0
2mer-0+68,0.09138975,2,0.09138975,-72.06121391,0.0001361689,13.154,10.286,10.286,0.0,0.09138975,0.09138975,0.27416925000000003,-68.45358180509334,-72.06121386999999,0.0
2mer-0+110,-0.0202846,1,-0.0101423,-72.0713562,0.0001361498,12.933,10.286,10.286,0.0,-0.0101423,-0.0101423,-0.0608538,-68.46372410509333,-72.07135616999999,0.0
2mer-0+100,-0.16032257,2,-0.16032257,-72.23167878,0.0001335493,14.294,10.353,10.353,0.0,-0.16032257,-0.16032257,-0.48096771,-68.62404667509334,-72.23167873999999,0.0
2mer-0+107,0.21907315,1,0.10953657,-72.1221422,0.00013045,13.446,10.434,10.434,0.0,0.109536575,0.109536575,0.6572194499999999,-68.51451010009333,-72.12214216499999,0.0
2mer-0+62,0.12221843,1,0.06110922,-72.06103299,0.0001293919,13.73,10.462,10.462,0.0,0.061109215,0.061109215,0.36665529,-68.45340088509333,-72.06103294999998,0.0
2mer-0+77,-0.06007308,1,-0.03003654,-72.09106952,0.0001292845,13.564,10.465,10.465,0.0,-0.03003654,-0.03003654,-0.18021924,-68.48343742509333,-72.09106948999998,0.0
2mer-0+135,-0.00788858,1,-0.00394429,-72.09501381,0.0001260612,13.642,10.554,10.554,0.0,-0.00394429,-0.00394429,-0.023665739999999998,-68.48738171509333,-72.09501377999999,0.0
2mer-0+162,0.09524695,1,0.04762347,-72.04739034,0.0001255462,13.333,10.568,10.568,0.0,0.047623475,0.047623475,0.28574085,-68.43975824009334,-72.047390305,0.0
2mer-0+192,-0.2424289,1,-0.12121445,-72.16860479,0.0001251156,12.307,10.58,10.58,0.0,-0.12121445,-0.12121445,-0.7272867000000001,-68.56097269009334,-72.16860475499999,0.0
2mer-0+71,-0.04483778,2,-0.04483778,-72.21344257,0.0001242887,14.089,10.604,10.604,0.0,-0.04483778,-0.04483778,-0.13451334,-68.60581047009333,-72.21344253499998,0.0
2mer-0+117,0.11478984,2,0.11478984,-72.09865273,0.0001233071,13.903,10.632,10.632,0.0,0.11478984,0.11478984,0.34436952,-68.49102063009333,-72.09865269499998,0.0
2mer-0+152,-0.0286059,1,-0.01430295,-72.11295568,0.0001225781,13.899,10.653,10.653,0.0,-0.01430295,-0.01430295,-0.0858177,-68.50532358009333,-72.11295564499999,0.0
2mer-0+112,-0.21063385,1,-0.10531693,-72.21827261,0.0001194915,12.344,10.744,10.744,0.0,-0.105316925,-0.105316925,-0.63190155,-68.61064050509333,-72.21827256999998,0.0
2mer-0+122,-0.08205149,2,-0.08205149,-72.3003241,0.0001180979,11.972,10.786,10.786,0.0,-0.08205149,-0.08205149,-0.24615447000000001,-68.69269199509333,-72.30032405999998,0.0
2mer-0+73,0.02740193,1,0.01370096,-72.28662314,0.0001160494,12.703,10.849,10.849,0.0,0.013700965,0.013700965,0.08220579,-68.67899103009333,-72.28662309499998,0.0
2mer-0+96,0.03970148,2,0.03970148,-72.24692166,0.0001152337,14.074,10.874,10.874,0.0,0.03970148,0.03970148,0.11910443999999999,-68.63928955009332,-72.24692161499998,0.0
2mer-0+221,0.23426997,1,0.11713499,-72.12978667,0.0001133107,14.081,10.936,10.936,0.0,0.117134985,0.117134985,0.70280991,-68.52215456509332,-72.12978662999997,0.0
2mer-0+97,0.04381433,1,0.02190716,-72.10787951,0.0001111515,14.643,11.006,11.006,0.0,0.021907165,0.021907165,0.13144298999999998,-68.50024740009331,-72.10787946499997,0.0
2mer-0+101,0.07646744,2,0.07646744,-72.03141207,0.0001109997,13.154,11.011,11.011,0.0,0.07646744,0.07646744,0.22940232,-68.42377996009331,-72.03141202499997,0.0
2mer-0+75,-0.1116464,2,-0.1116464,-72.14305847,0.0001081962,14.074,11.105,11.105,0.0,-0.1116464,-0.1116464,-0.3349392,-68.53542636009331,-72.14305842499996,0.0
2mer-0+196,0.15652776,1,0.07826388,-72.06479459,0.0001079723,13.618,11.113,11.113,0.0,0.07826388,0.07826388,0.46958327999999994,-68.45716248009332,-72.06479454499997,0.0
2mer-0+148,-0.04479009,1,-0.02239504,-72.08718963,0.0001074302,13.712,11.132,11.132,0.0,-0.022395045,-0.022395045,-0.13437026999999999,-68.47955752509331,-72.08718958999997,0.0
2mer-0+144,0.16096916,1,0.08048458,-72.00670505,0.0001074243,14.789,11.132,11.132,0.0,0.08048458,0.08048458,0.48290748,-68.39907294509331,-72.00670500999996,0.0
2mer-0+79,-0.10849581,2,-0.10849581,-72.11520087,0.0001053084,14.379,11.206,11.206,0.0,-0.10849581,-0.10849581,-0.32548743,-68.5075687550933,-72.11520081999996,0.0
2mer-0+86,-0.06914903,2,-0.06914903,-72.1843499,0.0001031861,13.875,11.282,11.282,0.0,-0.06914903,-0.06914903,-0.20744709,-68.57671778509331,-72.18434984999996,0.0
2mer-0+104,0.1030963,1,0.05154815,-72.13280175,0.0001030409,13.705,11.288,11.288,0.0,0.05154815,0.05154815,0.3092889,-68.5251696350933,-72.13280169999996,0.0
2mer-0+114,-0.07099072,2,-0.07099072,-72.20379247,0.0001027497,13.546,11.298,11.298,0.0,-0.07099072,-0.07099072,-0.21297215999999997,-68.5961603550933,-72.20379241999996,0.0
2mer-0+213,0.09864506,1,0.04932253,-72.15446994,0.0001010137,13.874,11.363,11.363,0.0,0.04932253,0.04932253,0.29593518,-68.5468378250933,-72.15446988999996,0.0
2mer-0+106,-0.13204814,2,-0.13204814,-72.28651808,9.818426e-05,13.421,11.471,11.471,0.0,-0.13204814,-0.13204814,-0.39614442000000005,-68.6788859650933,-72.28651802999995,0.0
2mer-0+189,0.04065942,1,0.02032971,-72.26618837,9.517316e-05,13.888,11.59,11.59,0.0,0.02032971,0.02032971,0.12197826,-68.6585562550933,-72.26618831999996,0.0
2mer-0+108,0.02668904,1,0.01334452,-72.25284385,9.512817e-05,14.153,11.592,11.592,0.0,0.01334452,0.01334452,0.08006712,-68.6452117350933,-72.25284379999995,0.0
2mer-0+120,0.0168427,2,0.0168427,-72.23600116,9.375454e-05,14.379,11.649,11.649,0.0,0.0168427,0.0168427,0.05052809999999999,-68.6283690350933,-72.23600109999995,0.0
2mer-0+131,-0.03524557,1,-0.01762279,-72.25362394,9.318735e-05,14.975,11.672,11.672,0.0,-0.017622785,-0.017622785,-0.10573670999999998,-68.6459918200933,-72.25362388499995,0.0
2mer-0+183,0.0544954,1,0.0272477,-72.22637624,9.060152e-05,15.085,11.782,11.782,0.0,0.0272477,0.0272477,0.1634862,-68.6187441200933,-72.22637618499995,0.0
2mer-0+211,-0.04552605,1,-0.02276302,-72.24913926,8.865524e-05,14.573,11.868,11.868,0.0,-0.022763025,-0.022763025,-0.13657815,-68.6415071450933,-72.24913920999995,0.0
2mer-0+154,0.22108803,1,0.11054401,-72.13859525,8.808099e-05,13.514,11.893,11.893,0.0,0.110544015,0.110544015,0.66326409,-68.5309631300933,-72.13859519499995,0.0
2mer-0+105,-0.08425316,2,-0.08425316,-72.22284842,8.613197e-05,14.692,11.982,11.982,0.0,-0.08425316,-0.08425316,-0.25275948,-68.6152162900933,-72.22284835499995,0.0
2mer-0+205,0.00456219,1,0.00228109,-72.22056732,8.589596e-05,13.977,11.993,11.993,0.0,0.002281095,0.002281095,0.013686569999999999,-68.6129351950933,-72.22056725999995,0.0
2mer-0+90,0.03406012,1,0.01703006,-72.20353726,8.393887e-05,15.597,12.086,12.086,0.0,0.01703006,0.01703006,0.10218036,-68.5959051350933,-72.20353719999996,0.0
2mer-0+115,0.11398557,1,0.05699279,-72.14654448,8.050874e-05,12.677,12.255,12.255,0.0,0.056992785,0.056992785,0.34195671,-68.5389123500933,-72.14654441499995,0.0
2mer-0+103,-0.06095638,2,-0.06095638,-72.20750086,7.951186e-05,15.018,12.306,12.306,0.0,-0.06095638,-0.06095638,-0.18286913999999999,-68.59986873009329,-72.20750079499994,0.0
2mer-0+195,-0.10296507,1,-0.05148253,-72.25898339,7.946633e-05,14.952,12.309,12.309,0.0,-0.051482535,-0.051482535,-0.30889521000000003,-68.6513512650933,-72.25898332999995,0.0
2mer-0+281,-0.093596,1,-0.046798,-72.30578139,7.428749e-05,15.583,12.588,12.588,0.0,-0.046798,-0.046798,-0.280788,-68.69814926509329,-72.30578132999995,0.0
2mer-0+177,0.02476188,2,0.02476188,-72.28101951,7.38148e-05,15.018,12.615,12.615,0.0,0.02476188,0.02476188,0.07428564,-68.67338738509329,-72.28101944999995,0.0
2mer-0+136,0.03294521,2,0.03294521,-72.24807429,7.281673e-05,15.829,12.672,12.672,0.0,0.03294521,0.03294521,0.09883563000000001,-68.6404421750933,-72.24807423999995,0.0
2mer-0+130,-0.00442673,1,-0.00221337,-72.25028766,7.244198e-05,16.31,12.694,12.694,0.0,-0.002213365,-0.002213365,-0.01328019,-68.6426555400933,-72.25028760499995,0.0
2mer-0+172,-0.08148105,1,-0.04074052,-72.29102818,7.180539e-05,16.668,12.732,12.732,0.0,-0.040740525,-0.040740525,-0.24444315,-68.6833960650933,-72.29102812999996,0.0
2mer-0+173,-0.00268038,1,-0.00134019,-72.29236837,7.027071e-05,14.001,12.824,12.824,0.0,-0.00134019,-0.00134019,-0.00804114,-68.6847362550933,-72.29236831999995,0.0
2mer-0+164,-0.08392951,1,-0.04196476,-72.33433313,6.9169e-05,16.171,12.891,12.891,0.0,-0.041964755,-0.041964755,-0.25178853,-68.7267010100933,-72.33433307499995,0.0
2mer-0+118,0.02830341,2,0.02830341,-72.30602972,6.849212e-05,16.112,12.934,12.934,0.0,0.02830341,0.02830341,0.08491023,-68.69839760009329,-72.30602966499994,0.0
2mer-0+128,0.03683664,2,0.03683664,-72.26919307,6.781375e-05,16.38,12.977,12.977,0.0,0.03683664,0.03683664,0.11050991999999998,-68.66156096009328,-72.26919302499994,0.0
2mer-0+159,-0.03299174,2,-0.03299174,-72.30218482,6.778453e-05,15.501,12.978,12.978,0.0,-0.03299174,-0.03299174,-0.09897522,-68.69455270009328,-72.30218476499994,0.0
2mer-0+123,0.0131746,1,0.0065873,-72.29559752,6.707072e-05,17.055,13.024,13.024,0.0,0.0065873,0.0065873,0.0395238,-68.68796540009328,-72.29559746499993,0.0
2mer-0+126,-0.0117044,1,-0.0058522,-72.30144972,6.698321e-05,17.103,13.03,13.03,0.0,-0.0058522,-0.0058522,-0.0351132,-68.69381760009328,-72.30144966499994,0.0
2mer-0+210,-0.00586484,2,-0.00586484,-72.30731456,6.680967e-05,16.474,13.041,13.041,0.0,-0.00586484,-0.00586484,-0.01759452,-68.69968244009328,-72.30731450499994,0.0
2mer-0+137,-0.13020227,2,-0.13020227,-72.43751682,6.593792e-05,16.474,13.099,13.099,0.0,-0.13020227,-0.13020227,-0.39060681,-68.82988471009328,-72.43751677499993,0.0
2mer-0+140,-0.01832427,1,-0.00916213,-72.44667896,6.58139e-05,15.648,13.107,13.107,0.0,-0.009162135,-0.009162135,-0.05497281,-68.83904684509328,-72.44667890999993,0.0
2mer-0+146,-0.07314262,1,-0.03657131,-72.48325026,6.579169e-05,16.221,13.108,13.108,0.0,-0.03657131,-0.03657131,-0.21942786000000003,-68.87561815509328,-72.48325021999993,0.0
2mer-0+166,0.06668287,1,0.03334144,-72.44990883,6.509563e-05,16.926,13.155,13.155,0.0,0.033341435,0.033341435,0.20004861000000002,-68.84227672009328,-72.44990878499993,0.0
