N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+27,-0.17956318,4,-0.35912635,-57.41482742,0.0003528237,9.402,7.489,7.489,"Molecule(name='C12H12', formula='C12H12', hash='c667622')"
2mer-0+18,-0.04174112,2,-0.04174112,-57.45656854,0.0003523333,11.624,7.492,7.492,"Molecule(name='C12H12', formula='C12H12', hash='a63f3b0')"
2mer-0+22,-0.03920059,2,-0.03920059,-57.49576913,0.0003505125,11.973,7.505,7.505,"Molecule(name='C12H12', formula='C12H12', hash='37a615a')"
2mer-0+45,-0.05854278,4,-0.11708555,-57.61285468,0.0002987386,10.863,7.916,7.916,"Molecule(name='C12H12', formula='C12H12', hash='c434de7')"
2mer-0+40,-0.10770311,4,-0.21540622,-57.8282609,0.0002902837,11.249,7.992,7.992,"Molecule(name='C12H12', formula='C12H12', hash='d1e5160')"
2mer-0+60,-0.03724817,4,-0.07449635,-57.90275725,0.0002569059,11.596,8.324,8.324,"Molecule(name='C12H12', formula='C12H12', hash='c7913ed')"
2mer-0+26,-0.0892085,2,-0.0892085,-57.99196575,0.0002364929,11.624,8.557,8.557,"Molecule(name='C12H12', formula='C12H12', hash='93b42db')"
2mer-0+43,-0.01212747,4,-0.02425495,-58.01622069,0.0002333832,12.044,8.595,8.595,"Molecule(name='C12H12', formula='C12H12', hash='571c3f7')"
2mer-0+59,-0.01003651,4,-0.02007302,-58.03629371,0.0002207595,13.459,8.756,8.756,"Molecule(name='C12H12', formula='C12H12', hash='925e69e')"
2mer-0+32,-0.07934591,2,-0.07934591,-58.11563962,0.0002142829,11.973,8.843,8.843,"Molecule(name='C12H12', formula='C12H12', hash='7ab269b')"
2mer-0+44,-0.009717,2,-0.009717,-58.12535662,0.0002040349,13.774,8.989,8.989,"Molecule(name='C12H12', formula='C12H12', hash='193182d')"
2mer-0+39,-0.00788857,2,-0.00788857,-58.13324518,0.0001695377,13.774,9.561,9.561,"Molecule(name='C12H12', formula='C12H12', hash='4f0da72')"
2mer-0+55,0.01708047,2,0.01708047,-58.11616471,0.0001624869,10.049,9.698,9.698,"Molecule(name='C12H12', formula='C12H12', hash='04b8a1d')"
2mer-0+33,-0.00502982,4,-0.01005964,-58.12622435,0.0001476099,14.534,10.013,10.013,"Molecule(name='C12H12', formula='C12H12', hash='9c7afc3')"
2mer-0+47,-0.03383142,2,-0.03383142,-58.16005577,0.0001472482,13.774,10.021,10.021,"Molecule(name='C12H12', formula='C12H12', hash='511dba1')"
2mer-0+34,-0.0144259,4,-0.0288518,-58.18890757,0.0001431179,14.605,10.117,10.117,"Molecule(name='C12H12', formula='C12H12', hash='57b1999')"
2mer-0+64,-0.02063772,4,-0.04127543,-58.230183,0.0001306538,13.836,10.429,10.429,"Molecule(name='C12H12', formula='C12H12', hash='6676194')"
2mer-0+54,-0.0092613,4,-0.0185226,-58.2487056,0.0001303341,14.378,10.437,10.437,"Molecule(name='C12H12', formula='C12H12', hash='3b2de1d')"
2mer-0+58,-0.01291035,4,-0.02582071,-58.27452631,0.0001194838,14.94,10.744,10.744,"Molecule(name='C12H12', formula='C12H12', hash='5747b1c')"
2mer-0+52,-0.02206591,4,-0.04413183,-58.31865814,0.0001163359,14.378,10.84,10.84,"Molecule(name='C12H12', formula='C12H12', hash='66526d7')"
2mer-0+98,-0.0367565,2,-0.0367565,-58.35541463,0.0001145894,13.62,10.895,10.895,"Molecule(name='C12H12', formula='C12H12', hash='e149b3e')"
2mer-0+77,-0.03153758,4,-0.06307516,-58.41848979,0.0001108473,13.836,11.016,11.016,"Molecule(name='C12H12', formula='C12H12', hash='34a61c3')"
2mer-0+95,-0.01079401,4,-0.02158802,-58.44007781,0.0001069138,14.878,11.15,11.15,"Molecule(name='C12H12', formula='C12H12', hash='21e8cf0')"
2mer-0+132,-0.00704989,2,-0.00704989,-58.4471277,0.0001023768,15.496,11.312,11.312,"Molecule(name='C12H12', formula='C12H12', hash='0c2ca17')"
2mer-0+80,-0.0035758,4,-0.00715161,-58.45427931,9.688024e-05,14.94,11.522,11.522,"Molecule(name='C12H12', formula='C12H12', hash='8c672fc')"
2mer-0+57,-0.00555732,4,-0.01111464,-58.46539395,9.587804e-05,16.115,11.562,11.562,"Molecule(name='C12H12', formula='C12H12', hash='c8a10e2')"
2mer-0+129,-0.0228125,2,-0.0228125,-58.48820645,9.370198e-05,14.78,11.651,11.651,"Molecule(name='C12H12', formula='C12H12', hash='72dba2e')"
2mer-0+94,-0.00110192,4,-0.00220384,-58.49041028,9.361866e-05,14.878,11.654,11.654,"Molecule(name='C12H12', formula='C12H12', hash='a4726f7')"
2mer-0+63,-0.00197909,4,-0.00395818,-58.49436847,9.064675e-05,16.305,11.78,11.78,"Molecule(name='C12H12', formula='C12H12', hash='1a88629')"
2mer-0+153,-0.00724474,2,-0.00724474,-58.50161321,8.893838e-05,16.273,11.855,11.855,"Molecule(name='C12H12', formula='C12H12', hash='42e1af2')"
2mer-0+88,-0.00201154,4,-0.00402308,-58.50563629,8.367519e-05,13.459,12.099,12.099,"Molecule(name='C12H12', formula='C12H12', hash='653cb04')"
2mer-0+104,-0.01418938,4,-0.02837877,-58.53401505,8.351303e-05,15.882,12.106,12.106,"Molecule(name='C12H12', formula='C12H12', hash='98ec1f7')"
2mer-0+82,-0.00931181,2,-0.00931181,-58.54332686,8.011105e-05,13.774,12.275,12.275,"Molecule(name='C12H12', formula='C12H12', hash='c9aa19f')"
2mer-0+71,-0.0075615,4,-0.01512299,-58.55844985,7.985817e-05,16.115,12.288,12.288,"Molecule(name='C12H12', formula='C12H12', hash='840524c')"
2mer-0+102,-0.00945941,2,-0.00945941,-58.56790927,7.947901e-05,16.56,12.308,12.308,"Molecule(name='C12H12', formula='C12H12', hash='15dc55e')"
2mer-0+74,-0.01108174,4,-0.02216349,-58.59007276,7.688576e-05,16.305,12.445,12.445,"Molecule(name='C12H12', formula='C12H12', hash='1e46d0f')"
2mer-0+119,-0.02221595,4,-0.04443191,-58.63450466,7.620951e-05,15.074,12.481,12.481,"Molecule(name='C12H12', formula='C12H12', hash='6e1c605')"
2mer-0+147,0.00045282,2,0.00045282,-58.63405184,6.338558e-05,18.134,13.272,13.272,"Molecule(name='C12H12', formula='C12H12', hash='c3355ea')"
2mer-0+127,-0.00932981,4,-0.01865962,-58.65271146,6.052864e-05,15.882,13.478,13.478,"Molecule(name='C12H12', formula='C12H12', hash='61411b5')"
2mer-0+89,-0.0066795,4,-0.013359,-58.66607046,6.007389e-05,17.436,13.512,13.512,"Molecule(name='C12H12', formula='C12H12', hash='c209602')"
2mer-0+116,-0.00540508,4,-0.01081017,-58.67688063,5.829474e-05,17.775,13.648,13.648,"Molecule(name='C12H12', formula='C12H12', hash='732c80e')"
2mer-0+113,-0.01123245,2,-0.01123245,-58.68811308,5.7461e-05,16.56,13.713,13.713,"Molecule(name='C12H12', formula='C12H12', hash='385e8c0')"
2mer-0+137,-0.00438566,2,-0.00438566,-58.69249874,5.704305e-05,18.134,13.747,13.747,"Molecule(name='C12H12', formula='C12H12', hash='4ad1e08')"
2mer-0+123,-0.0069734,2,-0.0069734,-58.69947214,5.625858e-05,17.527,13.81,13.81,"Molecule(name='C12H12', formula='C12H12', hash='12d281a')"
2mer-0+106,-0.00394927,4,-0.00789854,-58.70737069,5.520033e-05,17.959,13.898,13.898,"Molecule(name='C12H12', formula='C12H12', hash='9fdb19c')"
2mer-0+173,-0.00090186,4,-0.00180372,-58.70917441,5.328932e-05,18.574,14.062,14.062,"Molecule(name='C12H12', formula='C12H12', hash='36bca7e')"
2mer-0+145,-0.00057892,2,-0.00057892,-58.70975334,5.178484e-05,18.803,14.197,14.197,"Molecule(name='C12H12', formula='C12H12', hash='7d4372a')"
2mer-0+93,-0.00165571,2,-0.00165571,-58.71140905,5.16271e-05,18.84,14.212,14.212,"Molecule(name='C12H12', formula='C12H12', hash='bca4f05')"
2mer-0+195,0.00089044,4,0.00178087,-58.70962817,5.071315e-05,17.421,14.296,14.296,"Molecule(name='C12H12', formula='C12H12', hash='77467b0')"
2mer-0+183,-0.00815502,4,-0.01631005,-58.72593822,4.986371e-05,17.665,14.377,14.377,"Molecule(name='C12H12', formula='C12H12', hash='7f28b4f')"
2mer-0+170,0.00102602,2,0.00102602,-58.7249122,4.976511e-05,15.496,14.387,14.387,"Molecule(name='C12H12', formula='C12H12', hash='e2fa765')"
2mer-0+121,-0.00010008,4,-0.00020016,-58.72511235,4.854035e-05,18.937,14.507,14.507,"Molecule(name='C12H12', formula='C12H12', hash='a769b1d')"
2mer-0+155,-0.00905244,2,-0.00905244,-58.7341648,4.797668e-05,17.527,14.563,14.563,"Molecule(name='C12H12', formula='C12H12', hash='b1f0411')"
2mer-0+185,-0.00441082,2,-0.00441082,-58.73857561,4.710875e-05,18.803,14.652,14.652,"Molecule(name='C12H12', formula='C12H12', hash='27bbf0c')"
2mer-0+109,-0.0018595,4,-0.00371899,-58.7422946,4.675616e-05,19.499,14.689,14.689,"Molecule(name='C12H12', formula='C12H12', hash='14dc8ae')"
2mer-0+136,-0.00210689,4,-0.00421379,-58.74650839,4.651702e-05,19.207,14.714,14.714,"Molecule(name='C12H12', formula='C12H12', hash='2f617e2')"
2mer-0+215,-0.0028814,4,-0.0057628,-58.75227119,4.556939e-05,19.148,14.815,14.815,"Molecule(name='C12H12', formula='C12H12', hash='88e94f8')"
2mer-0+143,-0.00827809,4,-0.01655617,-58.76882736,4.444464e-05,17.775,14.939,14.939,"Molecule(name='C12H12', formula='C12H12', hash='73eb169')"
2mer-0+196,-0.00045597,2,-0.00045597,-58.76928334,4.429399e-05,16.273,14.956,14.956,"Molecule(name='C12H12', formula='C12H12', hash='678686f')"
2mer-0+166,-0.00721732,4,-0.01443464,-58.78371797,4.362766e-05,18.181,15.032,15.032,"Molecule(name='C12H12', formula='C12H12', hash='56ba3d3')"
2mer-0+161,-0.00759511,2,-0.00759511,-58.79131308,4.233111e-05,18.134,15.184,15.184,"Molecule(name='C12H12', formula='C12H12', hash='a0e6359')"
2mer-0+135,0.00025802,2,0.00025802,-58.79105507,4.146952e-05,20.238,15.288,15.288,"Molecule(name='C12H12', formula='C12H12', hash='e365882')"
2mer-0+233,0.00015181,4,0.00030363,-58.79075144,4.138575e-05,18.786,15.299,15.299,"Molecule(name='C12H12', formula='C12H12', hash='04dc6ed')"
2mer-0+125,-0.00229159,4,-0.00458317,-58.79533461,4.049275e-05,19.499,15.41,15.41,"Molecule(name='C12H12', formula='C12H12', hash='3bba71c')"
2mer-0+273,0.00058925,2,0.00058925,-58.79474536,4.033339e-05,20.099,15.43,15.43,"Molecule(name='C12H12', formula='C12H12', hash='b007af8')"
2mer-0+180,-0.00592342,2,-0.00592342,-58.80066878,3.950664e-05,18.803,15.537,15.537,"Molecule(name='C12H12', formula='C12H12', hash='2dd9053')"
2mer-0+159,-0.00175753,4,-0.00351505,-58.80418383,3.93334e-05,19.97,15.56,15.56,"Molecule(name='C12H12', formula='C12H12', hash='8a00ea4')"
2mer-0+214,0.00137127,4,0.00274254,-58.80144129,3.924758e-05,19.066,15.571,15.571,"Molecule(name='C12H12', formula='C12H12', hash='83f85ad')"
2mer-0+182,-0.00750492,4,-0.01500984,-58.81645113,3.871885e-05,18.181,15.642,15.642,"Molecule(name='C12H12', formula='C12H12', hash='719fea6')"
2mer-0+141,0.00041277,2,0.00041277,-58.81603836,3.83914e-05,20.033,15.686,15.686,"Molecule(name='C12H12', formula='C12H12', hash='d889c5d')"
2mer-0+150,-0.00604305,4,-0.01208611,-58.82812447,3.8029e-05,18.937,15.736,15.736,"Molecule(name='C12H12', formula='C12H12', hash='03e498a')"
2mer-0+144,-0.00351614,2,-0.00351614,-58.83164061,3.734765e-05,20.033,15.831,15.831,"Molecule(name='C12H12', formula='C12H12', hash='2338001')"
2mer-0+148,-0.00451554,4,-0.00903109,-58.8406717,3.716021e-05,19.207,15.858,15.858,"Molecule(name='C12H12', formula='C12H12', hash='3278c5f')"
2mer-0+211,-4.68e-06,4,-9.36e-06,-58.84068105,3.709499e-05,19.805,15.867,15.867,"Molecule(name='C12H12', formula='C12H12', hash='0327997')"
2mer-0+207,-0.00198027,4,-0.00396055,-58.8446416,3.461759e-05,19.805,16.237,16.237,"Molecule(name='C12H12', formula='C12H12', hash='a319e32')"
2mer-0+156,-0.00358453,2,-0.00358453,-58.84822613,3.232156e-05,20.238,16.613,16.613,"Molecule(name='C12H12', formula='C12H12', hash='a2e7ebe')"
2mer-0+191,-0.00219446,4,-0.00438892,-58.85261506,3.228107e-05,20.729,16.62,16.62,"Molecule(name='C12H12', formula='C12H12', hash='4dd2751')"
2mer-0+174,-0.00047636,4,-0.00095272,-58.85356777,3.21167e-05,19.97,16.648,16.648,"Molecule(name='C12H12', formula='C12H12', hash='d423d59')"
2mer-0+172,-0.00072745,2,-0.00072745,-58.85429523,3.199967e-05,21.353,16.668,16.668,"Molecule(name='C12H12', formula='C12H12', hash='50fb3b6')"
2mer-0+175,-0.0004971,2,-0.0004971,-58.85479232,3.122714e-05,21.353,16.804,16.804,"Molecule(name='C12H12', formula='C12H12', hash='5243b44')"
2mer-0+186,-0.00061291,2,-0.00061291,-58.85540523,3.042341e-05,21.353,16.951,16.951,"Molecule(name='C12H12', formula='C12H12', hash='b6c3493')"
2mer-0+205,0.00086571,2,0.00086571,-58.85453953,3.033152e-05,18.134,16.968,16.968,"Molecule(name='C12H12', formula='C12H12', hash='9fdb78a')"
2mer-0+235,-0.00057829,4,-0.00115659,-58.85569611,3.018566e-05,20.246,16.996,16.996,"Molecule(name='C12H12', formula='C12H12', hash='82f64ff')"
2mer-0+267,-0.00179256,4,-0.00358511,-58.85928122,3.018566e-05,20.246,16.996,16.996,"Molecule(name='C12H12', formula='C12H12', hash='058c4e9')"
2mer-0+238,0.00196541,4,0.00393081,-58.85535041,2.938898e-05,18.574,17.148,17.148,"Molecule(name='C12H12', formula='C12H12', hash='320774b')"
2mer-0+232,-0.00141355,4,-0.0028271,-58.85817751,2.923713e-05,21.016,17.177,17.177,"Molecule(name='C12H12', formula='C12H12', hash='def7c1d')"
2mer-0+220,-0.00366916,4,-0.00733833,-58.86551584,2.895761e-05,20.729,17.232,17.232,"Molecule(name='C12H12', formula='C12H12', hash='93dbd7f')"
2mer-0+268,0.00017042,2,0.00017042,-58.86534541,2.864482e-05,22.197,17.295,17.295,"Molecule(name='C12H12', formula='C12H12', hash='5969dbc')"
2mer-0+250,-0.00055322,4,-0.00110643,-58.86645184,2.829344e-05,19.148,17.366,17.366,"Molecule(name='C12H12', formula='C12H12', hash='698da51')"
2mer-0+202,-0.0010367,4,-0.0020734,-58.86852525,2.821611e-05,22.123,17.382,17.382,"Molecule(name='C12H12', formula='C12H12', hash='71ae315')"
2mer-0+231,-0.00019544,2,-0.00019544,-58.86872069,2.820131e-05,18.803,17.385,17.385,"Molecule(name='C12H12', formula='C12H12', hash='96d7135')"
2mer-0+289,-0.00345555,4,-0.0069111,-58.87563178,2.794722e-05,20.316,17.438,17.438,"Molecule(name='C12H12', formula='C12H12', hash='ef25333')"
2mer-0+324,-0.00425341,2,-0.00425341,-58.87988519,2.742739e-05,20.43,17.547,17.547,"Molecule(name='C12H12', formula='C12H12', hash='e571439')"
2mer-0+201,-0.00118045,4,-0.0023609,-58.88224609,2.734571e-05,21.747,17.565,17.565,"Molecule(name='C12H12', formula='C12H12', hash='946b246')"
2mer-0+194,-0.00187009,4,-0.00374018,-58.88598627,2.721812e-05,21.747,17.592,17.592,"Molecule(name='C12H12', formula='C12H12', hash='61434b9')"
2mer-0+319,9.862e-05,2,9.862e-05,-58.88588765,2.714497e-05,22.197,17.608,17.608,"Molecule(name='C12H12', formula='C12H12', hash='ee01bdb')"
2mer-0+326,-0.0007109,4,-0.0014218,-58.88730944,2.683544e-05,21.289,17.675,17.675,"Molecule(name='C12H12', formula='C12H12', hash='ad38b2a')"
2mer-0+359,-0.00199881,2,-0.00199881,-58.88930825,2.609851e-05,21.725,17.84,17.84,"Molecule(name='C12H12', formula='C12H12', hash='e396b56')"
2mer-0+277,0.00086104,4,0.00172207,-58.88758618,2.573556e-05,21.016,17.924,17.924,"Molecule(name='C12H12', formula='C12H12', hash='858b2a1')"
2mer-0+323,0.00068986,4,0.00137972,-58.88620646,2.516062e-05,21.289,18.059,18.059,"Molecule(name='C12H12', formula='C12H12', hash='5af10b2')"
2mer-0+329,-0.00255755,4,-0.00511509,-58.89132155,2.508322e-05,21.111,18.078,18.078,"Molecule(name='C12H12', formula='C12H12', hash='837978b')"
2mer-0+218,-0.00315844,2,-0.00315844,-58.89447999,2.493547e-05,21.353,18.113,18.113,"Molecule(name='C12H12', formula='C12H12', hash='23f5814')"
2mer-0+265,-0.00011624,4,-0.00023248,-58.89471247,2.444557e-05,22.857,18.233,18.233,"Molecule(name='C12H12', formula='C12H12', hash='fe8ffeb')"
2mer-0+249,-0.00140268,4,-0.00280536,-58.89751783,2.442986e-05,22.54,18.237,18.237,"Molecule(name='C12H12', formula='C12H12', hash='c59bab6')"
2mer-0+228,-0.00077182,4,-0.00154364,-58.89906147,2.371018e-05,22.123,18.42,18.42,"Molecule(name='C12H12', formula='C12H12', hash='498a1f3')"
2mer-0+332,-0.00236446,2,-0.00236446,-58.90142593,2.367988e-05,22.497,18.428,18.428,"Molecule(name='C12H12', formula='C12H12', hash='4a52ea9')"
2mer-0+251,-0.00256568,4,-0.00513135,-58.90655728,2.358647e-05,22.125,18.452,18.452,"Molecule(name='C12H12', formula='C12H12', hash='c83f15c')"
2mer-0+362,6.736e-05,4,0.00013471,-58.90642257,2.348031e-05,23.032,18.48,18.48,"Molecule(name='C12H12', formula='C12H12', hash='a2108f9')"
2mer-0+288,-0.00115243,4,-0.00230487,-58.90872744,2.271702e-05,22.393,18.685,18.685,"Molecule(name='C12H12', formula='C12H12', hash='b9ee8dd')"
2mer-0+291,-0.00074346,4,-0.00148692,-58.91021436,2.231722e-05,23.326,18.796,18.796,"Molecule(name='C12H12', formula='C12H12', hash='7e1466a')"
2mer-0+398,-0.00273724,2,-0.00273724,-58.9129516,2.214468e-05,22.17,18.844,18.844,"Molecule(name='C12H12', formula='C12H12', hash='6492f3c')"
2mer-0+260,-0.00025191,2,-0.00025191,-58.91320351,2.187407e-05,23.248,18.922,18.922,"Molecule(name='C12H12', formula='C12H12', hash='3df7796')"
2mer-0+431,-0.00168264,2,-0.00168264,-58.91488615,2.170273e-05,23.192,18.971,18.971,"Molecule(name='C12H12', formula='C12H12', hash='4993849')"
2mer-0+390,-0.00055248,2,-0.00055248,-58.91543863,2.131605e-05,23.68,19.085,19.085,"Molecule(name='C12H12', formula='C12H12', hash='5701ca8')"
2mer-0+368,-0.00219341,4,-0.00438682,-58.91982545,2.116914e-05,22.919,19.129,19.129,"Molecule(name='C12H12', formula='C12H12', hash='b4cbd97')"
2mer-0+241,4.482e-05,4,8.964e-05,-58.9197358,2.112878e-05,23.795,19.142,19.142,"Molecule(name='C12H12', formula='C12H12', hash='17e4fb0')"
2mer-0+314,-0.00154301,4,-0.00308603,-58.92282183,2.112557e-05,23.117,19.142,19.142,"Molecule(name='C12H12', formula='C12H12', hash='2217e77')"
2mer-0+242,-0.00084854,4,-0.00169709,-58.92451892,2.094952e-05,23.838,19.196,19.196,"Molecule(name='C12H12', formula='C12H12', hash='440c269')"
2mer-0+269,-0.00186998,4,-0.00373997,-58.92825889,2.074088e-05,22.54,19.26,19.26,"Molecule(name='C12H12', formula='C12H12', hash='2492f76')"
2mer-0+280,-0.00040282,2,-0.00040282,-58.9286617,2.042901e-05,23.946,19.358,19.358,"Molecule(name='C12H12', formula='C12H12', hash='4f0982e')"
2mer-0+339,-0.00203843,2,-0.00203843,-58.93070014,2.014296e-05,22.197,19.449,19.449,"Molecule(name='C12H12', formula='C12H12', hash='c71a4b7')"
2mer-0+358,0.00237647,2,0.00237647,-58.92832367,2.013729e-05,20.099,19.451,19.451,"Molecule(name='C12H12', formula='C12H12', hash='7741500')"
2mer-0+346,-0.00233238,2,-0.00233238,-58.93065605,2.013434e-05,22.497,19.452,19.452,"Molecule(name='C12H12', formula='C12H12', hash='0db4eea')"
2mer-0+370,-0.00161682,2,-0.00161682,-58.93227287,2.006132e-05,23.68,19.475,19.475,"Molecule(name='C12H12', formula='C12H12', hash='37c2318')"
2mer-0+320,0.00018432,2,0.00018432,-58.93208855,1.979397e-05,24.394,19.562,19.562,"Molecule(name='C12H12', formula='C12H12', hash='2e89fe8')"
2mer-0+318,-0.00055112,4,-0.00110224,-58.93319079,1.967131e-05,23.259,19.603,19.603,"Molecule(name='C12H12', formula='C12H12', hash='85b55ba')"
2mer-0+317,-0.00275749,4,-0.00551499,-58.93870577,1.963653e-05,22.393,19.615,19.615,"Molecule(name='C12H12', formula='C12H12', hash='90c7a6a')"
2mer-0+285,-0.00205561,2,-0.00205561,-58.94076138,1.909035e-05,23.248,19.8,19.8,"Molecule(name='C12H12', formula='C12H12', hash='4519952')"
2mer-0+297,-0.00075929,4,-0.00151857,-58.94227995,1.893315e-05,24.128,19.855,19.855,"Molecule(name='C12H12', formula='C12H12', hash='5246987')"
2mer-0+416,-0.000902,2,-0.000902,-58.94318195,1.887039e-05,21.725,19.877,19.877,"Molecule(name='C12H12', formula='C12H12', hash='a60b5fc')"
