N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+81,-0.08671707,2,-0.08671707,-82.07148333,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01025329,2,0.01025329,-82.06123004,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.16899046,2,-0.16899046,-82.2302205,0.00011297,14.193,10.947,10.947
2mer-0+102,0.0876819,2,0.0876819,-82.1425386,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.12855844,2,-0.12855844,-82.27109704,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03506456,2,0.03506456,-82.23603249,0.0001111,15.368,11.008,11.008
2mer-0+66,0.04520122,2,0.04520122,-82.19083126,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.06960988,2,-0.06960988,-82.26044115,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.05193754,2,-0.05193754,-82.31237869,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.07056008,2,-0.07056008,-82.38293877,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.13435085,2,-0.13435085,-82.51728962,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.08434018,2,-0.08434018,-82.6016298,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.03594267,2,0.03594267,-82.56568712,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.13491252,2,-0.13491252,-82.70059964,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.08402539,2,0.08402539,-82.61657425,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.06245749,2,-0.06245749,-82.67903174,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.05856961,2,-0.05856961,-82.73760136,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.05986463,2,0.05986463,-82.67773673,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.08329427,2,0.08329427,-82.59444246,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.08789678,2,-0.08789678,-82.68233924,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.07735611,2,0.07735611,-82.60498313,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00846343,2,-0.00846343,-82.61344656,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02533984,2,-0.02533984,-82.6387864,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01410958,2,-0.01410958,-82.65289598,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.03364635,2,-0.03364635,-82.68654233,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.0256345,2,-0.0256345,-82.71217683,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.01916468,2,0.01916468,-82.69301215,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.06610608,2,0.06610608,-82.62690607,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.03020883,2,0.03020883,-82.59669724,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.10365586,2,0.10365586,-82.49304138,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.00417734,2,0.00417734,-82.48886404,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.0497486,2,-0.0497486,-82.53861264,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.00931876,2,0.00931876,-82.52929388,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.04098509,2,0.04098509,-82.48830879,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.00942508,2,0.00942508,-82.47888371,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.07735198,2,0.07735198,-82.40153173,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01025637,2,-0.01025637,-82.4117881,6.043879e-05,18.131,13.484,13.484
2mer-0+143,-0.06383886,2,-0.06383886,-82.47562697,5.665257e-05,18.505,13.778,13.778
2mer-0+255,0.08674715,2,0.08674715,-82.38887982,5.535373e-05,18.891,13.885,13.885
2mer-0+178,-0.01161339,2,-0.01161339,-82.40049321,5.529443e-05,18.197,13.89,13.89
2mer-0+159,0.00936926,2,0.00936926,-82.39112395,5.52268e-05,17.7,13.896,13.896
2mer-0+208,0.04510218,2,0.04510218,-82.34602177,5.496258e-05,18.446,13.918,13.918
2mer-0+124,-0.03296644,2,-0.03296644,-82.37898821,5.448667e-05,18.287,13.958,13.958
2mer-0+121,-0.02251176,2,-0.02251176,-82.40149998,4.950088e-05,18.491,14.412,14.412
2mer-0+179,-0.04013277,2,-0.04013277,-82.44163275,4.845289e-05,18.633,14.515,14.515
2mer-0+168,-0.00068851,2,-0.00068851,-82.44232126,4.839335e-05,18.871,14.521,14.521
2mer-0+172,0.02182249,2,0.02182249,-82.42049877,4.812293e-05,18.51,14.548,14.548
2mer-0+147,0.0052267,2,0.0052267,-82.41527208,4.762804e-05,18.197,14.599,14.599
2mer-0+264,-0.0149888,2,-0.0149888,-82.43026088,4.678379e-05,18.835,14.686,14.686
2mer-0+184,-0.04430328,2,-0.04430328,-82.47456416,4.646529e-05,18.521,14.719,14.719
2mer-0+221,-0.06219157,2,-0.06219157,-82.53675573,4.577507e-05,18.707,14.793,14.793
2mer-0+269,-0.0130833,2,-0.0130833,-82.54983903,4.474886e-05,19.383,14.905,14.905
2mer-0+174,0.0106844,2,0.0106844,-82.53915463,4.451637e-05,19.297,14.931,14.931
2mer-0+136,-0.01345808,2,-0.01345808,-82.55261271,4.447992e-05,18.121,14.935,14.935
2mer-0+140,-0.02723991,2,-0.02723991,-82.57985262,4.440808e-05,18.521,14.943,14.943
2mer-0+141,-0.04629805,2,-0.04629805,-82.62615067,4.146865e-05,18.871,15.288,15.288
2mer-0+170,0.01001599,2,0.01001599,-82.61613468,4.098213e-05,18.729,15.349,15.349
2mer-0+151,-0.03280796,2,-0.03280796,-82.64894264,4.085194e-05,19.283,15.365,15.365
2mer-0+188,-0.00159421,2,-0.00159421,-82.65053685,4.063368e-05,19.95,15.392,15.392
2mer-0+253,-0.01571126,2,-0.01571126,-82.66624811,4.006764e-05,19.427,15.465,15.465
2mer-0+230,-0.02642086,2,-0.02642086,-82.69266897,4.002667e-05,18.809,15.47,15.47
2mer-0+181,-0.00422698,2,-0.00422698,-82.69689595,3.982461e-05,18.63,15.496,15.496
2mer-0+150,-0.03178616,2,-0.03178616,-82.7286821,3.971755e-05,18.55,15.51,15.51
2mer-0+218,0.01769164,2,0.01769164,-82.71099046,3.944616e-05,19.446,15.545,15.545
2mer-0+212,-0.0309676,2,-0.0309676,-82.74195806,3.904468e-05,19.093,15.598,15.598
2mer-0+152,-0.03742715,2,-0.03742715,-82.7793852,3.891094e-05,18.633,15.616,15.616
2mer-0+173,0.03909471,2,0.03909471,-82.74029049,3.877631e-05,20.549,15.634,15.634
2mer-0+169,-0.02816118,2,-0.02816118,-82.76845167,3.854699e-05,19.961,15.665,15.665
2mer-0+155,-0.01627218,2,-0.01627218,-82.78472385,3.786073e-05,19.769,15.759,15.759
2mer-0+175,-0.00658131,2,-0.00658131,-82.79130515,3.778719e-05,19.398,15.77,15.77
2mer-0+158,0.0103327,2,0.0103327,-82.78097246,3.758718e-05,20.31,15.797,15.797
2mer-0+265,-0.01963735,2,-0.01963735,-82.80060981,3.749647e-05,20.146,15.81,15.81
2mer-0+232,-0.00163911,2,-0.00163911,-82.80224892,3.616175e-05,20.894,16.002,16.002
2mer-0+245,0.0134189,2,0.0134189,-82.78883002,3.545201e-05,20.688,16.108,16.108
2mer-0+191,-0.0090575,2,-0.0090575,-82.79788752,3.51472e-05,20.61,16.155,16.155
2mer-0+229,0.02653724,2,0.02653724,-82.77135028,3.499364e-05,20.236,16.178,16.178
2mer-0+186,0.00532258,2,0.00532258,-82.7660277,3.454008e-05,19.856,16.249,16.249
2mer-0+215,-0.01833884,2,-0.01833884,-82.78436654,3.443805e-05,20.905,16.265,16.265
2mer-0+270,0.0238963,2,0.0238963,-82.76047025,3.418248e-05,20.43,16.305,16.305
2mer-0+227,-0.00794716,2,-0.00794716,-82.76841741,3.414277e-05,19.781,16.312,16.312
2mer-0+193,-0.03261125,2,-0.03261125,-82.80102866,3.397133e-05,20.484,16.339,16.339
2mer-0+306,0.00218764,2,0.00218764,-82.79884103,3.353307e-05,21.151,16.41,16.41
2mer-0+214,0.04040909,2,0.04040909,-82.75843194,3.345103e-05,21.466,16.423,16.423
2mer-0+348,0.00403208,2,0.00403208,-82.75439985,3.341442e-05,20.833,16.429,16.429
2mer-0+226,0.00718408,2,0.00718408,-82.74721578,3.335457e-05,20.236,16.439,16.439
2mer-0+187,0.04597119,2,0.04597119,-82.70124459,3.331756e-05,21.553,16.445,16.445
2mer-0+203,0.00757012,2,0.00757012,-82.69367447,3.311061e-05,20.456,16.48,16.48
2mer-0+247,0.02136504,2,0.02136504,-82.67230943,3.196611e-05,20.679,16.674,16.674
2mer-0+223,-0.00032138,2,-0.00032138,-82.67263081,3.137928e-05,20.894,16.777,16.777
2mer-0+318,-0.04245296,2,-0.04245296,-82.71508377,3.115841e-05,20.587,16.817,16.817
2mer-0+239,0.00935694,2,0.00935694,-82.70572684,3.102639e-05,21.392,16.841,16.841
2mer-0+240,-0.03092398,2,-0.03092398,-82.73665082,3.084029e-05,19.856,16.874,16.874
2mer-0+256,-0.02525857,2,-0.02525857,-82.76190939,3.023435e-05,20.456,16.986,16.986
2mer-0+196,-0.00087442,2,-0.00087442,-82.7627838,3.011376e-05,19.781,17.009,17.009
2mer-0+252,-0.00967172,2,-0.00967172,-82.77245553,3.004016e-05,21.878,17.023,17.023
2mer-0+352,-0.02379629,2,-0.02379629,-82.79625182,3.000133e-05,20.782,17.03,17.03
2mer-0+241,-0.00288359,2,-0.00288359,-82.79913541,2.971475e-05,21.525,17.085,17.085
2mer-0+197,-0.02505939,2,-0.02505939,-82.82419479,2.969516e-05,20.905,17.089,17.089
2mer-0+266,0.0179031,2,0.0179031,-82.8062917,2.969343e-05,21.6,17.089,17.089
2mer-0+177,-0.0261012,2,-0.0261012,-82.8323929,2.959283e-05,20.009,17.108,17.108
2mer-0+211,-0.01642873,2,-0.01642873,-82.84882163,2.946641e-05,21.525,17.133,17.133
2mer-0+205,-0.00179033,2,-0.00179033,-82.85061197,2.920656e-05,21.466,17.183,17.183
2mer-0+228,0.03874541,2,0.03874541,-82.81186655,2.829359e-05,22.542,17.366,17.366
2mer-0+299,0.0028457,2,0.0028457,-82.80902085,2.79485e-05,21.6,17.437,17.437
2mer-0+249,0.01127441,2,0.01127441,-82.79774644,2.77427e-05,21.309,17.48,17.48
2mer-0+316,0.02589102,2,0.02589102,-82.77185542,2.757712e-05,21.785,17.515,17.515
2mer-0+278,-0.0304956,2,-0.0304956,-82.80235102,2.750123e-05,20.565,17.531,17.531
2mer-0+199,-0.0078768,2,-0.0078768,-82.81022782,2.702635e-05,20.565,17.634,17.634
2mer-0+441,0.02118086,2,0.02118086,-82.78904695,2.67451e-05,22.441,17.695,17.695
2mer-0+235,0.00237883,2,0.00237883,-82.78666812,2.624729e-05,22.21,17.806,17.806
2mer-0+283,-0.0109444,2,-0.0109444,-82.79761252,2.610051e-05,22.71,17.84,17.84
2mer-0+311,0.01874013,2,0.01874013,-82.77887239,2.554549e-05,22.18,17.968,17.968
2mer-0+217,-0.02820471,2,-0.02820471,-82.8070771,2.552889e-05,21.392,17.972,17.972
2mer-0+251,-0.01122615,2,-0.01122615,-82.81830324,2.507801e-05,22.495,18.079,18.079
2mer-0+257,0.03972112,2,0.03972112,-82.77858212,2.507345e-05,23.382,18.08,18.08
2mer-0+238,-0.00899735,2,-0.00899735,-82.78757947,2.495249e-05,22.106,18.109,18.109
2mer-0+259,-0.01227177,2,-0.01227177,-82.79985124,2.457131e-05,21.309,18.202,18.202
2mer-0+293,-0.00128314,2,-0.00128314,-82.80113438,2.443281e-05,21.623,18.237,18.237
2mer-0+295,0.00821679,2,0.00821679,-82.79291759,2.380519e-05,22.291,18.395,18.395
2mer-0+354,0.01670797,2,0.01670797,-82.77620962,2.343008e-05,23.033,18.493,18.493
2mer-0+276,0.00811771,2,0.00811771,-82.76809191,2.339248e-05,23.062,18.503,18.503
2mer-0+321,0.01131384,2,0.01131384,-82.75677807,2.327943e-05,22.467,18.533,18.533
2mer-0+365,-0.00147422,2,-0.00147422,-82.75825229,2.298278e-05,22.901,18.612,18.612
2mer-0+242,0.01221409,2,0.01221409,-82.7460382,2.286783e-05,23.273,18.643,18.643
2mer-0+308,-0.00619462,2,-0.00619462,-82.75223281,2.255361e-05,23.544,18.73,18.73
2mer-0+363,-0.00062136,2,-0.00062136,-82.75285418,2.240433e-05,23.5,18.771,18.771
2mer-0+422,-0.02111869,2,-0.02111869,-82.77397287,2.236043e-05,23.021,18.783,18.783
2mer-0+250,0.00665586,2,0.00665586,-82.76731701,2.230361e-05,23.382,18.799,18.799
2mer-0+351,-0.00383569,2,-0.00383569,-82.7711527,2.225365e-05,22.89,18.813,18.813
2mer-0+328,-0.00935225,2,-0.00935225,-82.78050496,2.225109e-05,22.265,18.814,18.814
2mer-0+302,0.00276671,2,0.00276671,-82.77773825,2.205738e-05,22.949,18.869,18.869
2mer-0+345,-0.00949533,2,-0.00949533,-82.78723357,2.161965e-05,23.51,18.996,18.996
2mer-0+317,0.00150908,2,0.00150908,-82.78572449,2.149729e-05,22.461,19.032,19.032
2mer-0+350,-0.01076721,2,-0.01076721,-82.7964917,2.144109e-05,23.544,19.048,19.048
2mer-0+305,-0.00436295,2,-0.00436295,-82.80085465,2.128327e-05,22.242,19.095,19.095
2mer-0+466,0.00134769,2,0.00134769,-82.79950696,2.126931e-05,23.804,19.099,19.099
2mer-0+341,0.01207325,2,0.01207325,-82.78743371,2.122191e-05,23.033,19.113,19.113
2mer-0+336,-0.00467012,2,-0.00467012,-82.79210383,2.108475e-05,23.575,19.155,19.155
2mer-0+282,-0.00132953,2,-0.00132953,-82.79343336,2.102525e-05,22.088,19.173,19.173
2mer-0+280,-0.00402046,2,-0.00402046,-82.79745382,2.100344e-05,23.385,19.18,19.18
2mer-0+258,-0.01148602,2,-0.01148602,-82.80893984,2.091472e-05,23.062,19.207,19.207
2mer-0+343,0.0109026,2,0.0109026,-82.79803723,2.064027e-05,24.01,19.291,19.291
2mer-0+346,0.00301478,2,0.00301478,-82.79502246,2.060355e-05,23.656,19.303,19.303
2mer-0+298,0.01923397,2,0.01923397,-82.77578849,2.048942e-05,24.417,19.339,19.339
2mer-0+497,0.01781997,2,0.01781997,-82.75796851,2.046856e-05,23.937,19.345,19.345
2mer-0+430,-0.00779262,2,-0.00779262,-82.76576114,2.029562e-05,23.058,19.4,19.4
2mer-0+391,0.01645109,2,0.01645109,-82.74931005,2.025214e-05,23.488,19.414,19.414
2mer-0+309,-0.00421562,2,-0.00421562,-82.75352567,2.016054e-05,23.897,19.443,19.443
2mer-0+373,-0.01455128,2,-0.01455128,-82.76807695,1.995498e-05,23.238,19.51,19.51
2mer-0+303,-0.00231723,2,-0.00231723,-82.77039418,1.992712e-05,22.89,19.519,19.519
2mer-0+290,-0.00446104,2,-0.00446104,-82.77485522,1.982189e-05,23.149,19.553,19.553
2mer-0+397,-0.0190695,2,-0.0190695,-82.79392472,1.973202e-05,23.149,19.583,19.583
2mer-0+273,-0.01685402,2,-0.01685402,-82.81077874,1.952768e-05,22.936,19.651,19.651
2mer-0+320,-0.00686073,2,-0.00686073,-82.81763947,1.9377e-05,24.149,19.702,19.702
2mer-0+423,-0.01415081,2,-0.01415081,-82.83179028,1.935848e-05,23.667,19.708,19.708
2mer-0+521,0.00048996,2,0.00048996,-82.83130032,1.922196e-05,24.098,19.755,19.755
2mer-0+371,-0.01352654,2,-0.01352654,-82.84482686,1.92088e-05,23.429,19.759,19.759
2mer-0+569,0.0254362,2,0.0254362,-82.81939066,1.904664e-05,24.813,19.815,19.815
2mer-0+332,-0.00111842,2,-0.00111842,-82.82050908,1.90367e-05,23.5,19.818,19.818
2mer-0+268,-0.01113123,2,-0.01113123,-82.83164031,1.897023e-05,23.347,19.842,19.842
2mer-0+429,0.00809361,2,0.00809361,-82.82354671,1.873988e-05,23.909,19.923,19.923
2mer-0+374,-0.00584569,2,-0.00584569,-82.82939239,1.86778e-05,24.063,19.945,19.945
